bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
Bluetooth 5.0,,Apple M1 8 nhân,,,https://cellphones.com.vn/imac-2021-8gpu.html,Mac 24 2021,macOS,,"2 cổng Thunderbolt / USB 4 hỗ trợ:DisplayPort, Thunerderbolt 3, USB 4, USB 3.1 Gen 2",38.990.000 ₫,"DDR4 3200Mhz, hỗ trợ tối đa 16GB",,4480 x 2520 (4.5K),256GB SSD,24 inches,Độ sáng 500 nit,,54.7 x 46.1 x 1.15 cm (Dài x cao x dày),,,4.46kg,"802.11ax Wi-Fi 6, tương thích IEEE 802.11a/b/g/n/ac"
Bluetooth 5.0,,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1-16gb.html,MacBook Pro 13 Touch Bar M1 16GB 256GB 2020,macOS Big Sur,,2 cổng Thunderbolt / USB 4 ports,39.000.000 ₫,16GB,,Retina,256GB SSD,13.3 inches,"13.3-inch (diagonal) LED-backlit display with IPS technology, Retina display",,1.56 cm x 30.41 cm x 21.24 cm,,,1.4 kg,802.11ax Wi-Fi 6
Bluetooth 5.0,,Apple M1 8 nhân,,,https://cellphones.com.vn/imac-2021-8gpu-16gb-512gb.html,Mac 24 2021,macOS,,"2 cổng Thunderbolt / USB 4 hỗ trợ:DisplayPort, Thunerderbolt 3, USB 4, USB 3.1 Gen 2",49.990.000 ₫,"DDR4 3200Mhz, hỗ trợ tối đa 16GB",,4480 x 2520 (4.5K),512GB SSD,24 inches,Độ sáng 500 nit,,54.7 x 46.1 x 1.15 cm (Dài x cao x dày),,,4.46kg,"802.11ax Wi-Fi 6, tương thích IEEE 802.11a/b/g/n/ac"
Bluetooth 5.0,,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,,https://cellphones.com.vn/mac-mini-2020-m1-16gb-512gb.html,Mac mini M1 16GB 512GB 2020,macOS Big Sur,,"2 cổng Thunderbolt / USB 4 hỗ trợ: Sạc nhanh, Thunderbolt 3, USB 4, USB 3.1 Gen 2",29.500.000 ₫,16GB,,,512GB SSD,,,,3.6 cm x 19.7 cm x 19.7 cm,,,1.2 kg,802.11ax Wi-Fi 6
Bluetooth 5.0,,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,,https://cellphones.com.vn/mac-mini-2020-m1.html,Mac mini M1 256GB 2020,macOS Big Sur,,"2 cổng Thunderbolt / USB 4 hỗ trợ: Sạc nhanh, Thunderbolt 3, USB 4, USB 3.1 Gen 2",18.000.000 ₫,8GB,,,256GB SSD,,,,3.6 cm x 19.7 cm x 19.7 cm,,,1.2 kg,802.11ax Wi-Fi 6
Bluetooth 5.0,,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,,https://cellphones.com.vn/mac-mini-2020-m1-512gb.html,Mac mini M1 512GB 2020,macOS Big Sur,,"2 cổng Thunderbolt / USB 4 hỗ trợ: Sạc nhanh, Thunderbolt 3, USB 4, USB 3.1 Gen 2",21.500.000 ₫,8GB,,,512GB SSD,,,,3.6 cm x 19.7 cm x 19.7 cm,,,1.2 kg,802.11ax Wi-Fi 6
Bluetooth 5.0,,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1.html,MacBook Pro 13 Touch Bar M1 256GB 2020,macOS Big Sur,,2 cổng Thunderbolt / USB 4 ports,31.500.000 ₫,8GB,,Retina,256GB SSD,13.3 inches,Độ sáng 500 nits ,,1.56 cm x 30.41 cm x 21.24 cm,,,1.4 kg,802.11ax Wi-Fi 6
Bluetooth 5.0,,"Intel Core i5 thế hệ thứ 8, tốc độ 1.4GHz tối đa 3.9Ghz, 128MB eDRAM",,,https://cellphones.com.vn/macbook-pro-13-touchbar-i5-1-4ghz-256gb-2020.html,Macbook Pro 13 Touch Bar i5 1.4 256GB 2020,macOS Catalina,,"2 cổng Thunderbolt 3 (USB-C) hỗ trợ: Sạc nhanh, DisplayPort, Thunderbolt 3, USB 3.1 Gen 2",30.500.000 ₫,8GB,,2560 x 1600 pixels (2K),256GB SSD,13.3 inches,Độ sáng 500nits ,,1.56 x 30.41 x 21.24 ,,,1.4 kg,802.11ac
Bluetooth 5.0,,"Intel Core i5 10th, công nghệ Turbo Boost tối đa 3.5Hz, với bộ nhớ đệm L3 cache 6MB",,,https://cellphones.com.vn/apple-macbook-air-13-2020-512-gb.html,MacBook Air 13 512GB 2020,macOS,,"2 cổng Thunderbolt 3 (USB-C) hỗ trợ các tính năng: Sạc, DisplayPort, Thunderbolt, USB 3.1 Gen 2",27.000.000 ₫,8GB,,2560 x 1600 pixels (2K),512GB SSD,13.3 inches,True-Tone,,0.41–1.61cm x 30.41cm x 21.24cm,,,1.29kg,802.11ac Wi-Fi
Bluetooth 5.0,,"Intel Core i5 thế hệ thứ 8, tốc độ 1.4GHz tối đa 3.9Ghz, 128MB eDRAM",,,https://cellphones.com.vn/macbook-pro-13-touchbar-i5-1-4ghz-512gb-2020.html,Macbook Pro 13 Touch Bar i5 1.4 512GB 2020,macOS Catalina,,"2 cổng Thunderbolt 3 (USB-C) hỗ trợ: Sạc nhanh, DisplayPort, Thunderbolt 3, USB 3.1 Gen 2",32.500.000 ₫,8GB,,2560 x 1600 pixels (2K),512GB SSD,13.3 inches,Độ sáng 500nits ,,1.56 x 30.41 x 21.24 ,,,1.4 kg,802.11ac
Bluetooth 5.0,,Apple M1 8 nhân,,,https://cellphones.com.vn/imac-2021-8gpu-16gb.html,Mac 24 2021,macOS,,"2 cổng Thunderbolt / USB 4 hỗ trợ:DisplayPort, Thunerderbolt 3, USB 4, USB 3.1 Gen 2",44.990.000 ₫,"DDR4 3200Mhz, hỗ trợ tối đa 16GB",,4480 x 2520 (4.5K),256GB SSD,24 inches,Độ sáng 500 nit,,54.7 x 46.1 x 1.15 cm (Dài x cao x dày),,,4.46kg,"802.11ax Wi-Fi 6, tương thích IEEE 802.11a/b/g/n/ac"
