name,color,status,resolution,screentech,screensize,rear_cam,front_cam,pin,sim,cpu,ram,rom,os,gpu,size,weight,tech,wifi,bluetoorh,port,price,link
Macbook Pro 13.3” TouchBar 2018 SSD 256GB Sliver ( MR9U2 ),silver,new,2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness; Wide color gamut (P3).,retina,13.3-inch,720p FaceTime HD camera,No,Li-Po 58 Wh,No,intel intel quad-core 8th 2.3GHz Core i5 Intel Iris Plus 655,8GB onboard LPDDR3 2133MHz,256GB PCIe-based onboard SSD,MacOS,Intel Iris Plus 655,30.41 x x 21.24 x x 1.49 cm,"1,37",Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,Thunderbolt,35.990.000,https://www.techone.vn/macbook-pro-13-3-touchbar-2018-ssd-256gb-sliver-mr9u2.html
Macbook Pro 13.3” TouchBar 2018 SSD 256GB Space Gray ( MR9Q2 ),space gray,new,2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness; Wide color gamut (P3).,retina,13.3-inch,720p FaceTime HD camera,No,Li-Po 58 Wh,No,intel intel quad-core 8th 2.3GHz Core i5 Intel Iris Plus 655,8GB onboard LPDDR3 2133MHz,256GB PCIe-based onboard SSD,MacOS,Intel Iris Plus 655,30.41 x x 21.24 x x 1.49 cm,"1,37",Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,Thunderbolt,35.990.000,https://www.techone.vn/macbook-pro-13-3-touchbar-2018-ssd-256gb-space-gray-mr9q2.html
(MV922)-MacBook Pro 15in Touch Bar 256GB Silver- 2019 (Hàng chính hãng),silver,new,2880 x 1800,retina,15,720p FaceTime HD camera,No,87W USB-C Power Adapter,No,"intel Intel Core i7 quad-core 8th 2.4GHz 2.6GHz 6‑core 9th‑generation Intel Core i7 processor, Turbo Boost up to 4.5GHz Intel UHD Graphics 630",8GB onboard memory LPDDR3 2133MHz,256GB PCIe-based onboard SSD,MacOS,Intel UHD Graphics 630,undefined,1.8,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,Four Thunderbolt 3 (USB-C) ports with support for: * Charging * DisplayPort * Thunderbolt (up to 40Gb/s) * USB 3.1 Gen 2 (up to 10Gb/s),41.800.000,https://www.techone.vn/mv922-macbook-pro-15in-touch-bar-256gb-silver-2019-hang-chinh-hang.html
Macbook (MV972) – MacBook Pro 13inch Touch Bar 512GB Space Gray- 2019 (Hàng chính hãng),space gray,new,1560 x 1600,retina,13,720p FaceTime HD camera,No,Li-Po 58 Wh,No,"intel intel quad-core 8th 2.2GHz 2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz Intel Iris Plus 655",8GB onboard memory LPDDR3 2133MHz,512GB PCIe-based onboard SSD,MacOS,Intel Iris Plus 655,30.41 x x 21.24 x x 1.49 cm,"1,37",Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,Thunderbolt,36.390.000,https://www.techone.vn/macbook-mv972-macbook-pro-13inch-touch-bar-512gb-space-gray-2019-hang-chinh-hang.html
Macbook Pro 15 inch 2018 512GB SpaceGray ( MR942 ),gray,new,2880 x 1800,retina,15,720p FaceTime HD camera,No,Li-Po 58 Wh,No,intel intel quad-core 8th 2.6GHz Core i7 Intel Iris Plus 655,8GB onboard memory LPDDR3 2133MHz,512GB PCIe-based onboard SSD,MacOS,Intel Iris Plus 655,349.3 x 240.7 x 15.5,"1,83",Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,Thunderbolt,56.690.000,https://www.techone.vn/macbook-pro-15-inch-2018-512gb-spacegray-mr942.html
Macbook (MV9A2) – MacBook Pro 13in Touch Bar 512GB Silver- 2019 (Hàng chính hãng),silver,new,1560 x 1600,retina,13,720p FaceTime HD camera,No,Li-Po 58 Wh,No,"intel intel quad-core 8th 2.2GHz 2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz Intel Iris Plus 655",8GB onboard memory LPDDR3 2133MHz,512GB PCIe-based onboard SSD,MacOS,Intel Iris Plus 655,30.41 x x 21.24 x x 1.49 cm,"1,37",Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,Thunderbolt,36.390.000,https://www.techone.vn/macbook-mv9a2-macbook-pro-13in-touch-bar-512gb-silver-2019-hang-chinh-hang.html
Macbook Macbook Pro 13 inch 2018 512GB Sliver (MR9V2),silver,new,1560 x 1600,retina,13,720p FaceTime HD camera,No,Li-Po 58 Wh,No,intel intel quad-core 8th 2.3GHz Core i5 Intel Iris Plus 655,8GB onboard LPDDR3 2133MHz,512GB PCIe-based onboard SSD,MacOS,Intel Iris Plus 655,30.41 x x 21.24 x x 1.49 cm,"1,37",Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,Thunderbolt,43.590.000,https://www.techone.vn/macbook-macbook-pro-13-inch-2018-512gb-sliver-mr9v2.html
Macbook (MV962) – MacBook Pro 13in Touch Bar 256GB Space Gray-(i5-2.4 GHz)- 2019 (Hàng chính hãng),space gray,new,1560 x 1600,retina,13,720p FaceTime HD camera,No,Li-Po 58 Wh,No,"intel intel quad-core 8th 2.2GHz 2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz Intel Iris Plus 655",8GB onboard memory LPDDR3 2133MHz,256GB PCIe-based onboard SSD,MacOS,Intel Iris Plus 655,30.41 x x 21.24 x x 1.49 cm,"1,37",Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,Thunderbolt,33.990.000,https://www.techone.vn/macbook-mv962-macbook-pro-13in-touch-bar-256gb-space-gray-i5-2-4-ghz-2019-hang-chinh-hang.html
Macbook (MV992)-MacBook Pro 13in Touch Bar 256GB-(i5-2.4 GHz)- Silver- 2019 (Hàng chính hãng),silver,new,1560 x 1600,retina,13,720p FaceTime HD camera,No,Li-Po 58 Wh,No,"intel intel quad-core 8th 2.2GHz 2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz Intel Iris Plus 655",8GB onboard memory LPDDR3 2133MHz,256GB PCIe-based onboard SSD,MacOS,Intel Iris Plus 655,30.41 x x 21.24 x x 1.49 cm,"1,37",Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,Thunderbolt,33.990.000,https://www.techone.vn/macbook-mv992-macbook-pro-13in-touch-bar-256gb-i5-2-4-ghz-silver-2019-hang-chinh-hang.html
(MUHP2) – Macbook Pro 13-inch 256G Space Gray (i5-1.4 GHz) – 2019 (Hàng chính hãng),space gray,new,13.3-inch (diagonal) LED-backlit display with IPS technology; 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors,retina,13.3-inch,720p FaceTime HD camera,No,Li-Po 58 Wh,No,"intel intel quad-core 8th 1.4GHz 1.4GHz quad-core Intel Core i5, Turbo Boost up to 3.9GHz Intel Iris Plus 655",16GB 8GB onboard memory LPDDR3,256GB PCIe-based onboard SSD,MacOS,Intel Iris Plus 655,undefined,1.3,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,"* Two Thunderbolt 3 (USB-C) ports with support for: * Charging, DisplayPort, Thunderbolt (up to 40 Gbps) * USB-C 3.1 Gen 2 (up to 10 Gbps)",28.790.000,https://www.techone.vn/muhp2-macbook-pro-13-inch-256g-space-gray-i5-1-4-ghz-2019-hang-chinh-hang.html
