name,price_sale,price,err_1,Hãng sản xuất,Chủng loại,Part Number,Mầu sắc,cpu,ram,Số khe cắm,Dung lượng tối đa,VGA,rom,"Bảo mật, Công nghệ",Màn hình,Webcam,Audio,Giao tiếp mạng,Giao tiếp không dây,Cổng giao tiếp,Pin,Kích thước (rộng x dài x cao),Cân nặng,Hệ điều hành,Phụ kiện đi kèm,url,website,tssss
Apple Macbook Air 13 (MVFM2) (i5 1.6Ghz/8GB RAM/128GB SSD/13.3 inch/Mac OS/Vàng) (2019),26.989.000,,error_value,Apple,Macbook Air 13 - 2019,MVFM2,Vàng (Gold) – Nhôm nguyên khối,"Intel Core i5 (1.6Ghz, 4MB cache)",8GB LPDDR3, ,16GB,Intel UHD 617,128GB SSD,TouchID,"Retina 13.3"" (2560x1600) IPS Led Backlit True Tone",720p HD, , ,Wifi 802.11ac - Bluetooth 4.2,"2 * USB Type C, 2* Thunder Bolt 3","Công nghệ Lithium - polymer, 49.9Wh", ,1.25 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-air-13-mvfm2-i5-16ghz8gb-ram128gb-ssd133mac-osvang-2019,www.hanoicomputer.vn,50
Apple Macbook Pro 16 Touchbar (MVVK2SA/A) (i9 2.3Ghz/16GB RAM/1TB SSD/16.0/Radeon 5500M 4G/ Mac OS/Xám) (2019),66.989.000,71.999.000,error_value,Apple,Macbook Pro 16 – 2019,MVVK2SA/A,Xám (Space Grey) – vỏ nhôm khối,"Intel Core i9 (2.3Ghz, 16MB cache)",16GB  DDR4,,32GB,Radeon Pro 5500M 4GB DDR6,1TB SSD,TouchID,16‑inch LED‑backlit display with IPS technology,720p HD,Stereo,,Wifi 802.11ac - Bluetooth 5.0,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,"Công nghệ Lithium - polymer, 83.6Wh",35.79 x 24.59 x 1.62 cm,2.0 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-16-touchbar-mvvk2sa-a-i9-2-3ghz-16gb-ram-1tb-ssd-16-0-radeon-5500m-4g-mac-os-xam-2019,www.hanoicomputer.vn,50
Apple Macbook Air 13 (MVFJ2) (i5 1.6Ghz/8GB RAM/256GB SSD/13.3 inch/Mac OS/Xám) (2019),31.999.000,,error_value,Apple,Macbook Air 13 - 2019,MVFJ2,Xám (Space Grey) – Nhôm nguyên khối,"Intel Core i5 (1.6Ghz, 4MB cache)",8GB LPDDR3, ,16GB,Intel UHD 617,256GB SSD,TouchID,"Retina 13.3"" (2560x1600) IPS Led Backlit True Tone",720p HD, , ,Wifi 802.11ac - Bluetooth 4.2,"2 * USB Type C, 2* Thunder Bolt 3","Công nghệ Lithium - polymer, 49.9Wh", ,1.25 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-air-13-mvfj2-i5-16ghz8gb-ram256gb-ssd133mac-osxam-2019,www.hanoicomputer.vn,50
Apple Macbook Air 13 (MVFK2) (i5 1.6Ghz/8GB RAM/128GB SSD/13.3 inch/Mac OS/Bạc) (2019),26.989.000,,error_value,Apple,Macbook Air 13 - 2019,MVFK2,Bạc (Silver) – Nhôm nguyên khối,"Intel Core i5 (1.6Ghz, 4MB cache)",8GB LPDDR3, ,16GB,Intel UHD 617,128GB SSD,TouchID,"Retina 13.3"" (2560x1600) IPS Led Backlit True Tone",720p HD, , ,Wifi 802.11ac - Bluetooth 4.2,"2 * USB Type C, 2* Thunder Bolt 3","Công nghệ Lithium - polymer, 49.9Wh", ,1.25 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-air-13-mvfj2-i5-16ghz8gb-ram128gb-ssd133mac-osxam-2019,www.hanoicomputer.vn,50
Apple Macbook Pro 16 Touch Bar (MVVL2SA/A) (i7 2.6Ghz/16GB RAM/512GB SSD/16.0/Radeon 5300M 4G/16.0/Mac OS/Bạc) (2019),58.989.000,59.989.000,error_value,Apple,Macbook Pro 16 – 2019,MVVL2SA/A,Bạc (Silver) – vỏ nhôm khối,"Intel Core i7 (2.6Ghz, 12MB cache)",16GB  DDR4,,32GB,AMD Radeon Pro 5300M 4GB DDR6,512GB SSD,TouchID,"16.0"" (3072 x 1920)",720p HD,Stereo,,Wifi 802.11ac - Bluetooth 5.0,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,,35.79 x 24.59 x 1.62 cm,2.0 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-16-touch-bar-mvvl2sa-a-i7-2-6ghz-16gb-ram-512gb-ssd-16-0-radeon-5300m-4g-16-0-mac-os-bac-2019,www.hanoicomputer.vn,50
Apple Macbook Air 13 (MVFH2) (i5 1.6Ghz/8GB RAM/128GB SSD/13.3 inch/Mac OS/Xám) (2019),26.989.000,,error_value,Apple,Macbook Air 13 - 2019,MVFH2,Xám (Space Grey) – Nhôm nguyên khối,"Intel Core i5 (1.6Ghz, 4MB cache)",8GB LPDDR3, ,16GB,Intel UHD 617,128GB SSD,TouchID,"Retina 13.3"" (2560x1600) IPS Led Backlit True Tone",720p HD, , ,Wifi 802.11ac - Bluetooth 4.2,"2 * USB Type C, 2* Thunder Bolt 3","Công nghệ Lithium - polymer, 49.9Wh", ,1.25 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-air-13-mvfh2-i5-16ghz8gb-ram128gb-ssd133mac-osxam-2019,www.hanoicomputer.vn,50
Apple Macbook Pro 13 Touchbar (MUHQ2) (i5 1.4Ghz/8GB RAM/128GB SSD/13.3 inch/Mac OS/Bạc) (2019),32.989.000,,error_value,Apple,Macbook Pro 13 - 2019,MUHQ2,Bạc (Silver) – Nhôm nguyên khối,"Intel Core i5 (1.4Ghz, 6MB cache)",8GB LPDDR3, ,16GB,Intel Iris Plus 645,128GB SSD,TouchID,"Retina 13.3"" (2560x1600) IPS Led Backlit True Tone",720p HD, , ,Wifi 802.11ac - Bluetooth 5.0,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,"Công nghệ Lithium - polymer, 58.2Wh", ,1.37 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-muhq2-i5-14ghz8gb-ram128gb-ssd133mac-osbac-2019,www.hanoicomputer.vn,50
Apple Macbook Pro 13 Touchbar (MXK32) (i5 1.4Ghz/8GB /256GB SSD/13.3 inchIPS/Mac OS/Xám) (2020),32.989.000,35.689.000,error_value,Apple,Macbook Pro 13 - 2020,MXK32,Xám (Space Grey),"Intel Core i5 (1.4Ghz, 6MB cache)",8GB LPDDR3, , ,Intel Iris Plus Graphics,256GB SSD,TouchID,13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD, , ,Wifi 802.11ac - Bluetooth 5.0,"USB Type C, 2* Thunder Bolt 3","Lithium‑polymer, 58.2Wh", ,1.4 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-mxk32,www.hanoicomputer.vn,50
Apple Macbook Pro 13 Touchbar (MWP42) (i5 2.0Ghz/16GB RAM/512GB SSD/13.3inch IPS/Mac OS/Xám) (2020),45.989.000,49.989.000,error_value,Apple,Macbook Pro 13 - 2020,MWP42,Xám (Space Grey),"Intel Core i5 (2.0Ghz, 6MB cache) Gen 10th",16GB LPDDR4X 3733Mhz, , ,Intel Iris Plus Graphics,512GB SSD,TouchID,13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD, , ,Wifi 802.11ac - Bluetooth 5.0,"USB Type C, 4* Thunder Bolt 3","Lithium‑polymer, 58Wh", ,1.4 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-mwp42,www.hanoicomputer.vn,50
Apple Macbook Pro 15 Touchbar (MV912) (i9 2.3Ghz/16GB RAM/512GB SSD/15.4 inch/Radeon 560X 4GB/Mac OS/Xám) (2019),65.999.000,,error_value,Apple,Macbook Pro 15 – 2019,MV912,Xám (Space Grey) – vỏ nhôm khối,"Intel Core i9 (2.3Ghz, 16MB cache)",16GB  DDR4, ,32GB,Radeon Pro 560X 4GB DDR5,512GB SSD,TouchID,"15.4"" (2880x1800)",720p HD,Stereo, ,Wifi 802.11ac - Bluetooth 5.0,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,"Công nghệ Lithium - polymer, 83.6Wh",34.93 x 24.07x 1.55 (mm),1.83 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-15-touchbar-mv912-i9-23ghz16gb-ram512gb-ssd-154radeon-560x-4g-mac-osxam-2019,www.hanoicomputer.vn,50
Apple Macbook Air 13 (MVH22) (i5 1.1Ghz/8GB /512GB SSD/13.3 inch IPS/MacOS/Xám) (2020),31.489.000,33.989.000,error_value,Apple,Macbook Air 13 - 2020,MVH22,Xám (Space Grey),"Intel Core i5 (1.1Ghz, 6MB cache)",8GB LPDDR4, ,16GB,Intel Iris Plus Graphics,512GB SSD,TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD, , ,Wifi 802.11ac - Bluetooth 5.0,"USB Type C, 2* Thunder Bolt 3","Polymer, 49.9Wh", ,1.29 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-air-13-mvh22,www.hanoicomputer.vn,50
Apple Macbook Pro 13 Touchbar (MUHR2) (i5 1.4Ghz/8GB RAM/256GB SSD/13.3 inch/Mac OS/Bạc) (2019),37.099.000,,error_value,Apple,Macbook Pro 13 - 2019,MUHP2,Bạc (Silver) – Nhôm nguyên khối,"Intel Core i5 (1.4Ghz, 6MB cache)",8GB LPDDR3, ,16GB,Intel Iris Plus 645,256GB SSD,TouchID,"Retina 13.3"" (2560x1600) IPS Led Backlit True Tone",720p HD, , ,Wifi 802.11ac - Bluetooth 5.0,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,"Công nghệ Lithium - polymer, 58.2Wh", ,1.37 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-muhr2-i5-14ghz8gb-ram256gb-ssd133mac-osbac-2019,www.hanoicomputer.vn,50
Apple Macbook Air 13 (MGNE3SA/A) (Apple M1/8GB RAM/512GB SSD/13.3 inch IPS/Mac OS/Vàng) (NEW),31.589.000,33.989.000,,Apple,Macbook Air 13 – 2020 NEW,MGNE3SA/A,Vàng (Gold),Apple M1 (chip with 8-core CPU and 8-core GPU),8GB, ,16GB,Apple GPU 8 core,512GB SSD,Backlit Magic Keyboard; TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD,Stereo speakers, ,Wifi 802.11ac - Bluetooth 5.0,"USB 3.1 Gen2, 2* Thunder Bolt 3","Built in Polymer, 49.9Whr", ,1.29 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-air-13-mgne3sa-a-vang-new,www.hanoicomputer.vn,50
Apple Macbook Pro 13 Touchbar (MXK62) (i5 1.4Ghz/8GB /256GB SSD/13.3 inchIPS/Mac OS/Bạc) (2020),32.989.000,35.689.000,error_value,Apple,Macbook Pro 13 - 2020,MXK62,Bạc (Silver),"Intel Core i5 (1.4Ghz, 6MB cache)",8GB LPDDR3, , ,Intel Iris Plus Graphics,256GB SSD,TouchID,13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD, , ,Wifi 802.11ac - Bluetooth 5.0,"USB Type C, 2* Thunder Bolt 3","Lithium‑polymer, 58.2Wh", ,1.4 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-mxk62,www.hanoicomputer.vn,50
Apple Macbook Air 13 (MGND3SA/A) (Apple M1/8GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Vàng) (NEW),25.789.000,26.989.000,,Apple,Macbook Air 13 – 2020 NEW,MGND3SA/A,Vàng (Gold),Apple M1 chip with 8-core CPU and 7-core GPU,8GB, ,16GB,Apple GPU 7 core,256GB SSD,Backlit Magic Keyboard; TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD,Stereo speakers, ,Wifi 802.11ac - Bluetooth 5.0,"USB 3.1 Gen2, 2* Thunder Bolt 3","Built in Polymer, 49.9Whr", ,1.29 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-air-13-mgnd3sa-a-vang-new,www.hanoicomputer.vn,50
Apple Macbook Pro 13 Touchbar (MYDA2SA/A) (Apple M1/8GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Bạc) (NEW),32.289.000,34.989.000,,Apple,Macbook Pro 13 – 2020 NEW,MYDA2SA/A,Bạc (Silver),Apple M1 chip with 8-core CPU and 8-core GPU,8GB, ,16GB,Apple GPU 8 core,256GB SSD,Backlit Magic Keyboard; TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD,Stereo speakers, ,Wifi 802.11ac - Bluetooth 5.0,"USB 3.1 Gen2, 2* Thunder Bolt 3","Built in Polymer, 58.2Whr", ,1.4 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-myda2sa-a-bac-new,www.hanoicomputer.vn,50
Apple Macbook Pro 13 Touchbar (Z11D000E5) (Apple M1/16GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Bạc),38.599.000,41.989.000,,Apple,Macbook Pro 13,Z11DSA/A,Bạc (Silver),"Apple M1 chip with 8-core CPU and 8-core GPU, 16-core Neural Engine",16GB, ,16GB,Apple GPU with 8-core,256GB SSD,Backlit Magic Keyboard; TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD,Stereo speakers, ,Wifi 802.11ac - Bluetooth 5.0,"USB 3.1 Gen2, 2* Thunder Bolt 3","Built in Polymer, 58.2Whr", ,1.4 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-z11dsa-a-bac,www.hanoicomputer.vn,50
Apple Macbook Pro 13 Touchbar (MYDC2SA/A) (Apple M1/8GB RAM/512GB SSD/13.3 inch IPS/Mac OS/Bạc) (NEW),37.699.000,39.989.000,error_value,Apple,Macbook Pro 13 – 2020 NEW,MYDC2SA/A,Bạc (Silver),Apple M1 chip with 8-core CPU and 7-core GPU,8GB, ,16GB,,512GB SSD,Backlit Magic Keyboard; TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD,Stereo speakers, ,Wifi 802.11ac - Bluetooth 5.0,"USB 3.1 Gen2, 2* Thunder Bolt 3","Built in Polymer, 58.2Whr", ,1.4 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-mydc2sa-a-bac-new,www.hanoicomputer.vn,50
Apple Macbook Air 13 (MVH52) (i5 1.1Ghz/8GB /512GB SSD/13.3 inch IPS/MacOS/Vàng) (2020),31.489.000,33.989.000,error_value,Apple,Macbook Air 13 - 2020,MVH52,Vàng (Gold),"Intel Core i5 (1.1Ghz, 6MB cache)",8GB LPDDR4, ,16GB,Intel Iris Plus Graphics,512GB SSD,TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD, , ,Wifi 802.11ac - Bluetooth 5.0,"USB Type C, 2* Thunder Bolt 3","Polymer, 49.9Wh", ,1.29 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-air-13-mvh52,www.hanoicomputer.vn,50
Apple Macbook Pro 13 Touchbar (MWP72) (i5 2.0Ghz/16GB RAM/512GB SSD/13.3inch IPS/Mac OS/Bạc) (2020),45.989.000,49.989.000,error_value,Apple,Macbook Pro 13 - 2020,MWP72,Bạc (Silver),"Intel Core i5 (2.0Ghz, 6MB cache) Gen 10th",16GB LPDDR4X 3733Mhz, , ,Intel Iris Plus Graphics,512GB SSD,TouchID,13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD, , ,Wifi 802.11ac - Bluetooth 5.0,"USB Type C, 4* Thunder Bolt 3","Lithium‑polymer, 58Wh", ,1.4 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-mwp72-i5-2.0ghz-16gb-ram-512gb-ssd-13.3-inch-ips-mac-os-bac-2020,www.hanoicomputer.vn,50
