name,price_sale,cpu,ram,Màn hình:,Card màn hình:,rom,Kích thước và trọng lượng:,Camera:,Cổng kết nối:,Pin và sạc:,url,website
MacBook Pro 2019 13 inch (MUHP2/ MUHR2) Core i5 1.4Ghz 8GB RAM 256GB SSD – Like New,25.500.000 ,"Intel Core i5 1.4GHz quad‑core 8th‑generation, Turbo Boost up to 3.9GHz - 8257U",8GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Plus Graphics 645,"SSD, 256 GB",1.37 kg,720p FaceTime HD,Two Thunderbolt 3 ports,58.2 W h Li-Poly,https://macone.vn/macbook-pro-touchbar-13inch-2019-muhp2-muhr2-core-i5-256gb-8gb-like-new/,macone.vn
MacBook Pro 2019 13 inch (MV962/ MV992) Core i5 2.4GHz 8GB RAM 256GB SSD – Like new,26.800.000 ,Intel Core i5 2.4GHz quad-core,8GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Plus Graphics 655,"SSD, 256 GB",1.37 kg,720p FaceTime HD,4 cổng Thunderbolt 3 ports,Lithium- polymer,https://macone.vn/macbook-pro-touchbar-13-inch-2019-mv962-mv992-core-i5-2-4ghz-256gb-8gb-like-new/,macone.vn
Macbook Air 2016 13 inch MMGF2 Core i5 1.6Ghz 8GB RAM 128GB SSD – Like New,13.900.000 ,Intel® Core™ i5-5250U Processor  1.6GHz,8GB of 1600MHz LPDDR3 onboard memory,13.3-inch (diagonal) LED,Intel HD Graphics 6000,128GB PCIe-based flash storage,,720p FaceTime HD camera,"2 USB, Thunderbolt 2 port , MagSafe 2 power , SDXC card slot, 3.5 mm headphone jack",Built-in 54‑watt‑hour lithium‑polymer battery. 45W MagSafe 2 Power Adapter ,https://macone.vn/macbook-air-13inch-2016-mmgf2-core-i5-128gb-8gb-ram-like-new/,macone.vn
Macbook Air 2017 13 inch MQD42 Core i5 1.8GHz 8GB RAM 256GB SSD – Like New,16.500.000 ,1.8GHz Intel Core i5 (Broadwell),8GB of 1600 MHz LPDDR3,"13.3"" 1440 x 900 LED-Backlit Glossy",Intel HD Graphics 6000 (Tích hợp),256GB PCIe-based flash storage,1.7 x 32.5 x 22.7 cm - 1.35 kg,720p FaceTime HD Camera,2 x USB 3; 1 x Thunderbolt 2; 1 x SDXC card slot; 1 x 3.5mm headphone jack,Pin 12 tiếng - 54-watt-hour lithium,https://macone.vn/macbook-air-13-inch-2017-mqd42-core-i5-256gb-8gb-ram-like-new/,macone.vn
Macbook Air 2017 13 inch MQD32 Core i5 1.8GHz 8GB RAM 128GB SSD – Like New,15.500.000 ,1.8GHz Intel Core i5 (Broadwell),8GB of 1600 MHz LPDDR3,"13.3"" 1440 x 900 LED-Backlit Glossy",Intel HD Graphics 6000 (Tích hợp),128GB PCIe-Based Flash SSD,1.7 x 32.5 x 22.7 cm - 1.35 kg,720p FaceTime HD Camera,2 x USB 3; 1 x Thunderbolt 2; 1 x SDXC card slot; 1 x 3.5mm headphone jack,Pin 12 tiếng - 54-watt-hour lithium,https://macone.vn/macbook-air-13inch-2017-mqd32-core-i5-128gb-8gb-ram-like-new/,macone.vn
MacBook Pro 2020 13 inch Apple M1 16GB RAM 256GB SSD – NEW,37.890.000 ,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",16GB,13-inch Retina display with True Tone,8-core GPU,256GB SSD,3.0 pounds (1.4 kg),720p FaceTime HD,Two Thunderbolt 3 ports,Built-in 58.2-watt-hour lithium-polymer battery 61W USB-C Power Adapter,https://macone.vn/macbook-pro-2020-13-inch-apple-m1-16gb-ram-256gb-ssd-new/,macone.vn
Macbook Air 2017 13 inch MQD32 Core i5 1.8GHz 8GB RAM 128GB SSD – NEW,18.190.000 ,"Intel, Core i5 Broadwell, 1.80 GHz","8GB of 1,600MHz LPDDR3 RAM","13-inch, 1,440-x-900-pixel display",Intel HD Graphics 6000,128GB PCIe-based flash storage,1.7 x 32.5 x 22.7 cm - 1.35 kg,720p FaceTime HD camera,2 x USB 3; 1 x Thunderbolt 2; 1 x SDXC card slot; 1 x 3.5mm headphone jack,54-watt-hour battery,https://macone.vn/macbook-air-13-inch-2017-mqd32-core-i5-128gb-8gb-ram-new/,macone.vn
MacBook Pro Touch Bar 15 inch 2017 (MPTT2/ MPTV2) Core i7 2.9Ghz 16GB RAM 512GB SSD – Like New,34.800.000 ,Intel Core i7 2.9GHz quad-core - 7820HQ,16GB,"15.4 inch, Retina ( 2880 x 1800 pixels)",AMD Radeon Pro 560 with 4 GB + Intel HD Graphics 630 ,"SSD, 512 GB",1.83 kg,720p FaceTime HD,4 cổng Thunderbolt 3 ports,76.0 W h Li-Poly,https://macone.vn/macbook-pro-touch-bar-15-inch-2017-mptt2-mptv2-core-i7-512gb-16gb-ram-like-new/,macone.vn
Macbook Pro Touch Bar 15 inch 2017 (MPTR2/ MPTU2) Core i7 2.8Ghz 16GB RAM 256GB SSD – Like New,32.800.000 ,Intel Core i7 2.8 GHz Quad-Core - 7700HQ,16GB,"15.4 inch, Retina ( 2880 x 1800 pixels)",AMD Radeon Pro 555 2GB,"SSD, 256 GB",1.83 kg,720p FaceTime HD,4 cổng Thunderbolt 3 ports,76.0 W h Li-Poly,https://macone.vn/macbook-pro-touch-bar-15-inch-2017-mptr2-mptu2-core-i7-256gb-16gb-ram-like-new/,macone.vn
MacBook Pro 2020 13 inch (MYD92/MYDC2) Apple M1 8GB RAM 512GB SSD – Like New,31.300.000 ,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",8GB,13-inch Retina display with True Tone,8-core GPU,512GB SSD,3.0 pounds (1.4 kg),720p FaceTime HD,Two Thunderbolt 3 ports,Built-in 58.2-watt-hour lithium-polymer battery 61W USB-C Power Adapter,https://macone.vn/macbook-pro-2020-13-inch-myd92-mydc2-apple-m1-8gb-ram-512gb-ssd-like-new/,macone.vn
MacBook Air 2020 13 inch Apple M1 8GB RAM 256GB SSD – NEW,25.490.000 ,"Apple M1 chip with 8‑core CPU, 7‑core GPU, and 16‑core Neural Engine",8GB,Retina display with True Tone,7-core GPU,256 GB,2.8 pounds (1.29 kg),720p FaceTime HD camera,Two Thunderbolt 3 ports,Built-in 49.9‑watt‑hour lithium‑polymer battery 30W USB-C Power Adapter,https://macone.vn/macbook-air-2020-13-inch-apple-m1-8gb-ram-256gb-ssd-new/,macone.vn
MacBook Pro 2020 13 inch (MYD82/MYDA2) Apple M1 8GB RAM 256GB SSD – Like New,28.200.000 ,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",8GB,13-inch Retina display with True Tone,8-core GPU,256GB SSD,3.0 pounds (1.4 kg),720p FaceTime HD,Two Thunderbolt 3 ports,Built-in 58.2-watt-hour lithium-polymer battery 61W USB-C Power Adapter,https://macone.vn/macbook-pro-2020-13-inch-myd82-myda2-apple-m1-8gb-ram-256gb-ssd-like-new/,macone.vn
MacBook Pro 2019 13 inch (MUHN2/MUHQ2) Core i5 1.4GHz 8GB RAM 128GB SSD – Like New,23.900.000 ,"Intel Core i5 1.4GHz quad‑core 8th‑generation, Turbo Boost up to 3.9GHz - 8257U",8GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Plus Graphics 645,"SSD, 128 GB",1.37 kg,720p FaceTime HD,Two Thunderbolt 3 ports,58.2 W h Li-Poly,https://macone.vn/macbook-pro-touchbar-13-inch-2019-muhn2-muhq2-core-i5-1-4ghz-128gb-8gb-ram-like-new/,macone.vn
