product_name,price_sale,params_1,ram,gpu,display,params_2,params_3,params_4,params_5,params_6,params_7,params_8,url,website
MacBook Pro MD104 99%,15.500.000 ,– DVD: 8x slot-loading SuperDrive (DVD±R DL/DVD±RW/CD-RW).,"– RAM: 8GB of 1600MHz DDR3, Ổ cứng: 750GB 5400-rpm.",– Graphics: Intel HD Graphics 4000 tích hợp.,– Màn hình: 15.4inch (diagonal) LED-backlit,– Màn hình: LED-Backlit 15″,– Độ phân giải: 1680 x 1050,– Cổng mạng: Wireless 802.11n WiFi & Bluetooth 4.0,– Khe cắm: Dual USB 3.0 Ports & Thunderbolt Port,– Hệ điều hành: Includes Mac OS X 10.9 or OS X 10.8,– ,Giảm 20% khi mua phụ kiện túi chống sốc và dán máy,https://macstores.vn/macbook-pro-md104.html,macstores.vn
Macbook Pro Retina MD213 99%,,– Ổ cứng SSD: 256 GB,– RAM: 8 GB 1600MHz DDR3,– Graphics: Intel HD Graphics 4000,– Màn hình: 13 inch RETINA,– Độ Phân Giải : 2880 x 1800,"– Cổng Mạng : 802.11ac Wi-Fi, Bluetooth 4.0","– Khe Cắm : Thunderbolt 2, USB 3.0, HDMI","– Thiết bị nghe nhìn : FaceTime HD Camera, Dual Mics",– Hệ điều hành : Mac OS X Mavericks,– ,Giảm 20% khi mua phụ kiện túi chống sốc và dán máy,https://macstores.vn/macbook-pro-retina-md213.html,macstores.vn
MJLQ2 – Macbook Pro Retina 2015 15 inch New 99%,25.000.000 ,Ổ cứng SSD: 256 GB,RAM: 16 GB 1600MHz DDR3L,Graphics: Integrated Intel Iris Graphics,Màn hình Retina 15.4 inch. Độ phân giải : 2880 x 1800,"Cổng Mạng : 802.11ac Wi-Fi, Bluetooth 4.0","Khe Cắm : Thunderbolt 2, USB 3.0, HDMI","Thiết bị nghe nhìn : FaceTime HD Camera, Dual Mics",Force Touch Trackpad,Hệ điều hành : Mac OS X Yosimite,Giảm 20% khi mua phụ kiện túi chống sốc và dán máy,"Bảo hành 06 tháng, đổi trả trong 15 ngày",https://macstores.vn/macbook-pro-retina-mjlq2-option-2-8ghz.html,macstores.vn
Macbook Pro Retina MC976 99%,15.500.000 ,– Ổ cứng SSD: 512Gb,– Ram Option: 8GB of 1600 MHz DDR3,– Graphic: Intel HD Graphics 4000 + NVIDIA GeForce GT 650M 1GB GDDR5,,"– Màn hình: 15.4″, Độ phân giải 2880 x 1800 pixel",– Độ Phân Giải : 2880 x 1800,"– Cổng Mạng : 802.11ac Wi-Fi, Bluetooth 4.0","– Khe Cắm : Thunderbolt 2, USB 3.0, HDMI","– Thiết bị nghe nhìn : FaceTime HD Camera, Dual Mics",– Hệ điều hành : Mac OS X Mavericks,– ,https://macstores.vn/macbook-pro-retina-mc976.html,macstores.vn
Macbook Pro MD101 99%,10.500.000 ,– Ổ cứng: Features 500GB 5400 RPM,– Ram: Internal 4GB DDR3,– Graphics: Intel HD 4000,,– Màn hình: LED-Backlit 13.3″ (33.8 cm),– Độ phân giải: 1280 x 800,– SuperDrive,– Cổng mạng: Wireless 802.11n WiFi & Bluetooth 4.0,– Khe cắm: Dual USB 3.0 Ports & Thunderbolt Port,– Hệ điều hành: Includes Mac OS X 10.9 or OS X 10.8,"– Bảo hành 3 tháng, đổi trả trong 15 ngày",https://macstores.vn/macbook-pro-md101.html,macstores.vn
Macbook 12 Inch 2016 256GB MMGL2,,1.1 GHz Intel Core m3 Dual-Core,8GB of 1866 MHz LPDDR3 RAM,Integrated Intel HD Graphics 515,12″ LED-Backlit IPS Retina Display,2304 x 1440 Screen Resolution,USB 3.0 Type-C Port,"802.11ac Wi-Fi, Bluetooth 4.0",Force Touch Trackpad,Mac OS X El Capitan or macOS Sierra,BẢO HÀNH 2 NĂM.,,https://macstores.vn/macbook-12-inch-2016-256gb-mmgl2.html,macstores.vn
MacBook Pro MD103 99%,13.000.000 ,– DVD: 8x slot-loading SuperDrive (DVD±R DL/DVD±RW/CD-RW).,"– RAM: 4GB of 1600MHz DDR3, Ổ cứng: 500GB 5400-rpm.",– Graphics: Intel HD Graphics 4000 tích hợp.,– Màn hình: 15.4inch (diagonal) LED-backlit,– Màn hình: LED-Backlit 15″,– Độ phân giải: 1680 x 1050,– Cổng mạng: Wireless 802.11n WiFi & Bluetooth 4.0,– Khe cắm: Dual USB 3.0 Ports & Thunderbolt Port,– Hệ điều hành: Includes Mac OS X 10.9 or OS X 10.8,– ,Giảm 20% khi mua phụ kiện túi chống sốc và dán máy,https://macstores.vn/macbook-pro-retina-md103.html,macstores.vn
MacBook Pro MD102 99%,,– Ổ cứng: 750GB 5400-rpm.,– RAM: 8GB of 1600MHz DDR3,– Graphics: Intel HD Graphics 4000 tích hợp.,– Màn hình: 13.3-inch (diagonal) LED-backlit,– DVD: 8x slot-loading SuperDrive (DVD±R DL/DVD±RW/CD-RW).,– Màn hình: LED-Backlit 13.3″ (33.8 cm),– Độ phân giải: 1280 x 800,– Cổng mạng: Wireless 802.11n WiFi & Bluetooth 4.0,– Khe cắm: Dual USB 3.0 Ports & Thunderbolt Port,– Hệ điều hành: Includes Mac OS X 10.9 or OS X 10.8,– Giảm 20% khi mua phụ kiện túi chống sốc và dán máy,https://macstores.vn/macbook-pro-retina-md102.html,macstores.vn
Macbook Pro Retina MD212 97%,,– Ổ cứng SSD: 128 GB,– RAM: 8 GB 1600MHz DDR3,– Graphics: Intel HD Graphics 4000,– Màn hình: 13 inch RETINA,– Độ Phân Giải : 2880 x 1800,"– Cổng Mạng : 802.11ac Wi-Fi, Bluetooth 4.0","– Khe Cắm : Thunderbolt 2, USB 3.0, HDMI","– Thiết bị nghe nhìn : FaceTime HD Camera, Dual Mics",– Hệ điều hành : Mac OS X Mavericks,– Giảm 20% khi mua phụ kiện túi chống sốc và dán máy,"– Bảo hành 3 tháng, đổi trả trong 15 ngày",https://macstores.vn/macbook-pro-retina-md212-97.html,macstores.vn
Macbook Pro 2017 MPTT2 (Space Gray),42.000.000 ,2.9 GHz Intel Core i7 Quad-Core,16GB of 2133 MHz RAM | 512GB SSD,AMD Radeon Pro 560 Graphics (4GB GGDR5),15.4″ 2880 x 1800 Retina Display,802.11ac Wi-Fi | Bluetooth 4.2,Touch Bar | Touch ID Sensor,4 x Thunderbolt 3 (USB Type-C) Ports,3.5mm Headphone Jack | Stereo Speakers,Force Touch Trackpad,macOS Sierra,BẢO HÀNH 1 NĂM.,https://macstores.vn/macbook-pro-2017-mptt2-space-gray.html,macstores.vn
Macbook Pro 2017 MPTV2 (Silver),42.000.000 ,2.9 GHz Intel Core i7 Quad-Core,16GB of 2133 MHz RAM | 512GB SSD,AMD Radeon Pro 560 Graphics (4GB GGDR5),15.4″ 2880 x 1800 Retina Display,802.11ac Wi-Fi | Bluetooth 4.2,Touch Bar | Touch ID Sensor,4 x Thunderbolt 3 (USB Type-C) Ports,3.5mm Headphone Jack | Stereo Speakers,Force Touch Trackpad,macOS Sierra,BẢO HÀNH 1 NĂM.,https://macstores.vn/macbook-pro-2017-mptv2-silver.html,macstores.vn
Macbook Pro 2017 MPTW2 (Silver) New,45.000.000 ,3.1 GHz Intel Core i7 Quad-Core,16GB of 2133 MHz RAM | 1TB SSD,AMD Radeon Pro 560 Graphics (4GB GGDR5),15.4″ 2880 x 1800 Retina Display,802.11ac Wi-Fi | Bluetooth 4.2,Touch Bar | Touch ID Sensor,4 x Thunderbolt 3 (USB Type-C) Ports,3.5mm Headphone Jack | Stereo Speakers,Force Touch Trackpad,macOS Sierra,BẢO HÀNH 1 NĂM.,https://macstores.vn/macbook-pro-2017-mptw2-silver.html,macstores.vn
Macbook Pro 2017 MPTX2 (Space Gray),45.000.000 ,3.1 GHz Intel Core i7 Quad-Core,16GB of 2133 MHz RAM | 1TB SSD,AMD Radeon Pro 560 Graphics (4GB GGDR5),15.4″ 2880 x 1800 Retina Display,802.11ac Wi-Fi | Bluetooth 4.2,Touch Bar | Touch ID Sensor,4 x Thunderbolt 3 (USB Type-C) Ports,3.5mm Headphone Jack | Stereo Speakers,Force Touch Trackpad,macOS Sierra,MÁY MỚI 100% NGUYÊN SEAL,https://macstores.vn/macbook-pro-2017-mptx2-space-gray.html,macstores.vn
Macbook Pro Retina MD213 97%,,– Ổ cứng SSD: 256 GB,– RAM: 8 GB 1600MHz DDR3,– Graphics: Intel HD Graphics 4000,– Màn hình: 13 inch RETINA,– Độ Phân Giải : 2880 x 1800,"– Cổng Mạng : 802.11ac Wi-Fi, Bluetooth 4.0","– Khe Cắm : Thunderbolt 2, USB 3.0, HDMI","– Thiết bị nghe nhìn : FaceTime HD Camera, Dual Mics",– Hệ điều hành : Mac OS X Mavericks,– ,Giảm 20% khi mua phụ kiện túi chống sốc và dán máy,https://macstores.vn/macbook-pro-retina-md213-97.html,macstores.vn
MacBook Pro 15 inch 2018 512Gb MR972,48.000.000 ,16GB, 2400MHz DDR4 memory,GPU: Radeon Pro 560X with 4GB of GDDR5 memory,Màn hình: 15.4 inch Retina Display with True Tone (2880 x 1800),Màu: Silver,Ổ cứng: ,512GB,Hỗ trợ 4 cổng Thunderbolt 3 tốc độ cao,Mới 100% Bảo Hành 12 tháng chính hãng,Hỗ trợ cài đặt phần mềm miễn phí trọn đời,,https://macstores.vn/macbook-pro-15-inch-2018-512gb-mr972.html,macstores.vn
Macbook Pro Retina MC975 97%,13.500.000 ,– Ổ cứng SSD: 256Gb,– Ram Option: 8GB of 1600 MHz DDR3,– Graphic: Intel HD Graphics 4000 + NVIDIA GeForce GT 650M 1GB GDDR5,,"– Màn hình: 15.4″, Độ phân giải 2880 x 1800 pixel","– Cổng Mạng : 802.11ac Wi-Fi, Bluetooth 4.0","– Khe Cắm : Thunderbolt 2, USB 3.0, HDMI","– Thiết bị nghe nhìn : FaceTime HD Camera, Dual Mics",– Hệ điều hành : Mac OS X Mavericks,– Tặng kèm ba lô trị giá 500.000đ, hoặc mua Fitbit Charge HR trị giá 1.500.000đ chỉ với 800.000đ,https://macstores.vn/macbook-pro-retina-mc975-97.html,macstores.vn
MacBook Pro 15 inch 2018 256Gb MR932,45.000.000 ,Màu: Space Gray,RAM: 16GB 2400MHz DDR4 memory,GPU: Radeon Pro 555X with 4GB of GDDR5 memory,Màn hình: 15.4 inch Retina Display with True Tone (2880 x 1800),Hỗ trợ 4 cổng Thunderbolt 3 tốc độ cao,Mới 100% Bảo Hành 12 tháng chính hãng,Hỗ trợ cài đặt phần mềm miễn phí trọn đời,,,,,https://macstores.vn/macbook-pro-15-inch-2018-256gb-mr932.html,macstores.vn
Macbook 12 Inch 2016 256GB MLH72,,1.1 GHz Intel Core m3 Dual-Core,8GB of 1866 MHz LPDDR3 RAM,Integrated Intel HD Graphics 515,12″ LED-Backlit IPS Retina Display,2304 x 1440 Screen Resolution,USB 3.0 Type-C Port,"802.11ac Wi-Fi, Bluetooth 4.0",Force Touch Trackpad,Mac OS X El Capitan or macOS Sierra,BẢO HÀNH 2 NĂM.,,https://macstores.vn/macbook-12-inch-2016-256gb-mlh72.html,macstores.vn
MR972 Option – MacBook Pro 2018 15 inch (Core i7/512gb/32gb),55.000.000 ,32GB, 2400MHz DDR4 memory,GPU: Radeon Pro 560X with 4GB of GDDR5 memory,Màn hình: 15.4 inch Retina Display with True Tone (2880 x 1800),Ổ cứng: ,512GB,Màu: Silver,Hỗ trợ 4 cổng Thunderbolt 3 tốc độ cao,Mới 100% Bảo Hành 12 tháng chính hãng,Hỗ trợ cài đặt phần mềm miễn phí trọn đời,,https://macstores.vn/macbook-pro-15-inch-2018-512gb-mr972-option-32gb-sao-chep.html,macstores.vn
Macbook 12 Inch 2016 256GB MLHE2,,1.1 GHz Intel Core m3 Dual-Core,8GB of 1866 MHz LPDDR3 RAM,Integrated Intel HD Graphics 515,12″ LED-Backlit IPS Retina Display,2304 x 1440 Screen Resolution,USB 3.0 Type-C Port,"802.11ac Wi-Fi, Bluetooth 4.0",Force Touch Trackpad,Mac OS X El Capitan or macOS Sierra,BẢO HÀNH 2 NĂM.,,https://macstores.vn/macbook-12-inch-2016-256gb-mlhe2.html,macstores.vn
MacBook Pro 15 inch 2018 MR942 Option – i9/16GB/512GB,49.500.000 ,2.9GHz 6-core 8th-generation Intel Core i9 processor, 2400MHz DDR4 memory,GPU: Radeon Pro 560X with 4GB of GDDR5 memory,Màn hình: 15.4 inch Retina Display with True Tone (2880 x 1800)," (I9-8950HK, Turbo 4.8GHz, Cache 12MB)",16GB,Ổ cứng: ,512GB,Màu: Space Gray,Hỗ trợ 4 cổng Thunderbolt 3 tốc độ cao,Mới 100% Bảo Hành 12 tháng chính hãng,https://macstores.vn/macbook-pro-15-inch-2018-mr942-option-i9-16gb-512gb.html,macstores.vn
MVVJ2 – MacBook Pro 16 inch 2019 New – (Space Gray/i7/16GB/512GB),51.500.000 ,"Tình trạng: Mới, Nguyên Seal, Active Online",RAM: 16GB 2666MHz DDR4 memory,VGA: AMD Radeon Pro 5300M with 4GB GDDR6 memory,Màn hình: 16-inch Retina with True Tone (2880×1800),Màu: Xám (Space Gray),Interface: Four Thunderbolt 3 ports (USB-Type C),Touch Bar & Touch ID,Trọng lượng: 2.0Kg,,,,https://macstores.vn/mvvj2-macbook-pro-16-inch-2019-new-space-grayi716gb512gb.html,macstores.vn
MVVK2 – MacBook Pro 16 inch 2019 New– (Space Gray/i9/16GB/1TB),59.000.000 ,"Tình trạng: Mới, Nguyên Seal, Active Online",RAM: 16GB 2666MHz DDR4 memory,VGA: AMD Radeon Pro 5500M with 4GB GDDR6 memory,Màn hình: 16-inch Retina with True Tone (3072×1920),Màu: Xám (Space Gray),Interface: Four Thunderbolt 3 ports (USB-Type C),Touch Bar & Touch ID,Trọng lượng: 2.0Kg,,,,https://macstores.vn/mvvk2-macbook-pro-16-inch-2019-new-space-grayi916gb1tb.html,macstores.vn
MVVL2 – MacBook Pro 16 inch 2019 New– (Silver/i7/16GB/512GB),51.500.000 ,"Tình trạng: Mới, Nguyên Seal, Active Online",RAM: 16GB 2666MHz DDR4 memory,VGA: AMD Radeon Pro 5300M with 4GB GDDR6 memory,Màn hình: 16-inch Retina with True Tone (2880×1800),Màu: Bạc (Silver),Interface: Four Thunderbolt 3 ports (USB-Type C),Touch Bar & Touch ID,Trọng lượng: 2.0Kg,,,,https://macstores.vn/mvvl2-macbook-pro-16-inch-2019-new-silveri716gb512gb.html,macstores.vn
MVVM2 – MacBook Pro 16 inch 2019 New– (Silver/i9/16GB/1TB),60.000.000 ,"Tình trạng: Mới, Nguyên Seal, Active Online",RAM: 16GB 2666MHz DDR4 memory,VGA: AMD Radeon Pro 5500M with 4GB GDDR6 memory,Màn hình: 16-inch Retina with True Tone (3072×1920),Màu: Xám (Space Gray),Interface: Four Thunderbolt 3 ports (USB-Type C),Touch Bar & Touch ID,Trọng lượng: 2.0Kg,,,,https://macstores.vn/mvvm2-macbook-pro-16-inch-2019-new-silveri916gb1tb.html,macstores.vn
CTO – MacBook Pro 16 inch 2019 New– (Space Gray/i9/32GB/1TB),78.000.000 ,"Tình trạng: Mới, Nguyên Seal",RAM: 32GB 2666MHz DDR4 memory,VGA: AMD Radeon Pro 5500M with 4GB GDDR6 memory,Màn hình: 16-inch Retina with True Tone (3072×1920),Màu: Xám (Space Gray),Interface: Four Thunderbolt 3 ports (USB-Type C),Touch Bar & Touch ID,Trọng lượng: 2.0Kg,,,,https://macstores.vn/cto-macbook-pro-16-inch-2019-new-space-grayi932gb1tb.html,macstores.vn
Macbook Pro 2017 MPTR2 (Space Gray),40.000.000 ,2.8 GHz Intel Core i7 Quad-Core,16GB of 2133 MHz RAM | 256GB SSD,AMD Radeon Pro 555 Graphics (2GB GGDR5),15.4″ 2880 x 1800 Retina Display,802.11ac Wi-Fi | Bluetooth 4.2,Touch Bar | Touch ID Sensor,4 x Thunderbolt 3 (USB Type-C) Ports,3.5mm Headphone Jack | Stereo Speakers,Force Touch Trackpad,macOS Sierra,BẢO HÀNH 1 NĂM.,https://macstores.vn/macbook-pro-2017-mptr2-grey.html,macstores.vn
CTO – MacBook Pro 16 inch 2019 New– (I9/64GB/4TB/VGA 8GB),125.000.000 ,"Tình trạng: Mới, Nguyên Seal",RAM: 64GB 2666MHz DDR4 memory,VGA: AMD Radeon Pro 5500M with 8GB GDDR6 memory,Màn hình: 16-inch Retina with True Tone (3072×1920),Màu: Xám (Space Gray),Interface: Four Thunderbolt 3 ports (USB-Type C),Touch Bar & Touch ID,Trọng lượng: 2.0Kg,,,,https://macstores.vn/cto-macbook-pro-16-inch-2019-new-i964gb4tbvga-8gb.html,macstores.vn
Macbook 12 Inch 2016 256GB MLHA2,,1.1 GHz Intel Core m3 Dual-Core,8GB of 1866 MHz LPDDR3 RAM,Integrated Intel HD Graphics 515,12″ LED-Backlit IPS Retina Display,2304 x 1440 Screen Resolution,USB 3.0 Type-C Port,"802.11ac Wi-Fi, Bluetooth 4.0",Force Touch Trackpad,Mac OS X El Capitan or macOS Sierra,BẢO HÀNH 2 NĂM.,,https://macstores.vn/macbook-12-inch-2016-256gb-mlha2.html,macstores.vn
Macbook Pro 2017 MPTU2 (Silver),40.000.000 ,2.8 GHz Intel Core i7 Quad-Core,16GB of 2133 MHz RAM | 256GB SSD,AMD Radeon Pro 555 Graphics (2GB GGDR5),15.4″ 2880 x 1800 Retina Display,802.11ac Wi-Fi | Bluetooth 4.2,Touch Bar | Touch ID Sensor,4 x Thunderbolt 3 (USB Type-C) Ports,3.5mm Headphone Jack | Stereo Speakers,Force Touch Trackpad,macOS Sierra,BẢO HÀNH 1 NĂM.,https://macstores.vn/macbook-pro-2017-mptu2-silver.html,macstores.vn
MVVM2 – MacBook Pro 16 inch 2019 New – (Silver/i9/16GB/1TB),61.000.000 ,"Tình trạng: Mới, Nguyên Seal, chưa Active",RAM: 16GB 2666MHz DDR4 memory,VGA: AMD Radeon Pro 5500M with 4GB GDDR6 memory,Màn hình: 16-inch Retina with True Tone (3072×1920),Màu: Xám (Space Gray),Interface: Four Thunderbolt 3 ports (USB-Type C),Touch Bar & Touch ID,Trọng lượng: 2.0Kg,,,,https://macstores.vn/mvvm2-macbook-pro-16-inch-2019-new-silveri916gb1tb-2.html,macstores.vn
MVVL2 – MacBook Pro 16 inch 2019 New – (Silver/i7/16GB/512GB),52.500.000 ,"Tình trạng: Mới, Nguyên Seal, chưa Active",RAM: 16GB 2666MHz DDR4 memory,VGA: AMD Radeon Pro 5300M with 4GB GDDR6 memory,Màn hình: 16-inch Retina with True Tone (2880×1800),Màu: Bạc (Silver),Interface: Four Thunderbolt 3 ports (USB-Type C),Touch Bar & Touch ID,Trọng lượng: 2.0Kg,,,,https://macstores.vn/mvvl2-macbook-pro-16-inch-2019-new-silveri716gb512gb-2.html,macstores.vn
MVVJ2 – MacBook Pro 16 inch 2019 New – (Space Gray/i7/16GB/512GB),52.500.000 ,"Tình trạng: Mới, Nguyên Seal, chưa Active",RAM: 16GB 2666MHz DDR4 memory,VGA: AMD Radeon Pro 5300M with 4GB GDDR6 memory,Màn hình: 16-inch Retina with True Tone (2880×1800),Màu: Xám (Space Gray),Interface: Four Thunderbolt 3 ports (USB-Type C),Touch Bar & Touch ID,Trọng lượng: 2.0Kg,,,,https://macstores.vn/mvvj2-macbook-pro-16-inch-2019-new-space-grayi716gb512gb-2.html,macstores.vn
MVVK2 – MacBook Pro 16 inch 2019 New – (Space Gray/i9/16GB/1TB),60.000.000 ,"Tình trạng: Mới, Nguyên Seal, chưa Active",RAM: 16GB 2666MHz DDR4 memory,VGA: AMD Radeon Pro 5500M with 4GB GDDR6 memory,Màn hình: 16-inch Retina with True Tone (3072×1920),Màu: Xám (Space Gray),Interface: Four Thunderbolt 3 ports (USB-Type C),Touch Bar & Touch ID,Trọng lượng: 2.0Kg,,,,https://macstores.vn/mvvk2-macbook-pro-16-inch-2019-new-space-grayi916gb1tb-2.html,macstores.vn
MacBook Pro 15 inch 2018 256Gb MR962,45.000.000 ,Màu: Silver,RAM: 16GB 2400MHz DDR4 memory,GPU: Radeon Pro 555X with 4GB of GDDR5 memory,Màn hình: 15.4 inch Retina Display with True Tone (2880 x 1800),Hỗ trợ 4 cổng Thunderbolt 3 tốc độ cao,Mới 100% Bảo Hành 12 tháng chính hãng,Hỗ trợ cài đặt phần mềm miễn phí trọn đời,,,,,https://macstores.vn/macbook-pro-2018-mr962.html,macstores.vn
CTO – MacBook Pro 16 inch 2019 – (Space Gray/i9/32GB/1TB/8GB),85.000.000 ,Tình trạng: Newseal,RAM: 32GB 2666MHz DDR4 memory,VGA: AMD Radeon Pro 5500M with 8GB GDDR6 memory,Màn hình: 16-inch Retina with True Tone (3072×1920),Màu: Xám (Space Gray),Interface: Four Thunderbolt 3 ports (USB-Type C),Touch Bar & Touch ID,Trọng lượng: 2.0Kg,,,,https://macstores.vn/cto-macbook-pro-16-inch-2019-new-space-grayi932gb1tb8gb-2.html,macstores.vn
CTO – MacBook Pro 16 inch 2019 New– (Silver/i7/32GB/512GB),,"Tình trạng: Mới, Nguyên Seal, Active Online",RAM: 32GB 2666MHz DDR4 memory,VGA: AMD Radeon Pro 5300M with 4GB GDDR6 memory,Màn hình: 16-inch Retina with True Tone (2880×1800),Màu: Bạc (Silver),Interface: Four Thunderbolt 3 ports (USB-Type C),Touch Bar & Touch ID,Trọng lượng: 2.0Kg,,,,https://macstores.vn/cto-macbook-pro-16-inch-2019-new-silveri732gb512gb.html,macstores.vn
MR952 Option – MacBook Pro 15 inch 2018 Core i9/32G/1TB,61.000.000 ,32GB, 2400MHz DDR4 memory,GPU: Radeon Pro 560X with 4GB of GDDR5 memory,Màn hình: 15.4 inch Retina Display with True Tone (2880 x 1800),Ổ cứng: ,1TB,Màu: Space Gray,Hỗ trợ 4 cổng Thunderbolt 3 tốc độ cao,Mới 100% Bảo Hành 12 tháng chính hãng,Hỗ trợ cài đặt phần mềm miễn phí trọn đời,,https://macstores.vn/macbook-pro-15-inch-2018-512gb-mr972-option-i932g1tb.html,macstores.vn
Macbook Pro 2017 MPXT2 Option i5/8G/512GB,29.000.000 ,2.3 GHz Intel Core i5 Dual-Core,8GB of 2133 MHz RAM | 512GB PCIe SSD,Integrated Intel Iris Plus Graphics 640,13.3″ 2560 x 1600 Retina Display,802.11ac Wi-Fi | Bluetooth 4.2,2 x Thunderbolt 3 (USB Type-C) Ports,3.5mm Headphone Jack | Stereo Speakers,Force Touch Trackpad,macOS Sierra,BẢO HÀNH 1 NĂM.,,https://macstores.vn/macbook-pro-mpxt2-grey.html,macstores.vn
Macbook Pro 2017 MPXV2 ( grey ),31.000.000 ,3.1 GHz Intel Core i5 Dual-Core,8GB of 2133 MHz RAM | 256GB SSD,Integrated Intel Iris Plus Graphics 650,13.3″ 2560 x 1600 Retina Display,802.11ac Wi-Fi | Bluetooth 4.2,Touch Bar | Touch ID Sensor,4 x Thunderbolt 3 (USB Type-C) Ports,3.5mm Headphone Jack | Stereo Speakers,Force Touch Trackpad,macOS Sierra,BẢO HÀNH 1 NĂM.,https://macstores.vn/macbook-pro-mpxv2-grey-2.html,macstores.vn
Macbook Pro 2017 MPXV2 (Space Gray),31.000.000 ,3.1 GHz Intel Core i5 Dual-Core,8GB of 2133 MHz RAM | 256GB SSD,Integrated Intel Iris Plus Graphics 650,13.3″ 2560 x 1600 Retina Display,802.11ac Wi-Fi | Bluetooth 4.2,Touch Bar | Touch ID Sensor,4 x Thunderbolt 3 (USB Type-C) Ports,3.5mm Headphone Jack | Stereo Speakers,Force Touch Trackpad,macOS Sierra,BẢO HÀNH 1 NĂM.,https://macstores.vn/macbook-pro-mpxv2-grey.html,macstores.vn
Macbook Pro 2017 MPXX2 (Silver),31.000.000 ,3.1 GHz Intel Core i5 Dual-Core,8GB of 2133 MHz RAM | 256GB SSD,Integrated Intel Iris Plus Graphics 650,13.3″ 2560 x 1600 Retina Display,802.11ac Wi-Fi | Bluetooth 4.2,Touch Bar | Touch ID Sensor,4 x Thunderbolt 3 (USB Type-C) Ports,3.5mm Headphone Jack | Stereo Speakers,Force Touch Trackpad,macOS Sierra,BẢO HÀNH 1 NĂM.,https://macstores.vn/macbook-pro-2017-mpxx2-silver.html,macstores.vn
CTO – MacBook Pro 16 inch 2019 New– (I9/64GB/2TB/VGA 8GB),,"Tình trạng: Mới, Nguyên Seal",RAM: 64GB 2666MHz DDR4 memory,VGA: AMD Radeon Pro 5500M with 8GB GDDR6 memory,Màn hình: 16-inch Retina with True Tone (3072×1920),Màu: Xám (Space Gray),Interface: Four Thunderbolt 3 ports (USB-Type C),Touch Bar & Touch ID,Trọng lượng: 2.0Kg,,,,https://macstores.vn/cto-macbook-pro-16-inch-2019-new-i964gb2tbvga-8gb.html,macstores.vn
Macbook Pro 2017 MPXR2 (Silver),26.500.000 ,2.3 GHz Intel Core i5 Dual-Core,8GB of 2133 MHz RAM | 128GB PCIe SSD,Integrated Intel Iris Plus Graphics 640,13.3″ 2560 x 1600 Retina Display,802.11ac Wi-Fi | Bluetooth 4.2,2 x Thunderbolt 3 (USB Type-C) Ports,3.5mm Headphone Jack | Stereo Speakers,Force Touch Trackpad,macOS Sierra,BẢO HÀNH 1 NĂM.,,https://macstores.vn/macbook-pro-2017-mpxr2.html,macstores.vn
MacBook Pro 15 inch 2018 512Gb MR942,48.000.000 ,16GB, 2400MHz DDR4 memory,GPU: Radeon Pro 560X with 4GB of GDDR5 memory,Màn hình: 15.4 inch Retina Display with True Tone (2880 x 1800),Màu: Space Gray,Ổ cứng: ,512GB,Hỗ trợ 4 cổng Thunderbolt 3 tốc độ cao,Mới 100% Bảo Hành 12 tháng chính hãng,Hỗ trợ cài đặt phần mềm miễn phí trọn đời,,https://macstores.vn/macbook-pro-15-inch-2018-512gb-mr942.html,macstores.vn
MacBook Pro 15 inch 2018 512Gb MR942 Option 32Gb,55.000.000 ,32GB, 2400MHz DDR4 memory,GPU: Radeon Pro 560X with 4GB of GDDR5 memory,Màn hình: 15.4 inch Retina Display with True Tone (2880 x 1800),Màu: Silver,Ổ cứng: ,512GB,Hỗ trợ 4 cổng Thunderbolt 3 tốc độ cao,Mới 100% Bảo Hành 12 tháng chính hãng,Hỗ trợ cài đặt phần mềm miễn phí trọn đời,,https://macstores.vn/macbook-pro-15-inch-2018-512gb-mr942-sao-chep.html,macstores.vn
Max Option – MacBook Pro 16 inch 2019 New– (I9/64GB/8TB/VGA 8GB),,"Tình trạng: Mới, Nguyên Seal",RAM: 64GB 2666MHz DDR4 memory,VGA: AMD Radeon Pro 5500M with 8GB GDDR6 memory,Màn hình: 16-inch Retina with True Tone (3072×1920),Màu: Xám (Space Gray),Interface: Four Thunderbolt 3 ports (USB-Type C),Touch Bar & Touch ID,Trọng lượng: 2.0Kg,,,,https://macstores.vn/max-option-macbook-pro-16-inch-2019-new-i964gb8tbvga-8gb.html,macstores.vn
MPXQ2 – Macbook Pro 2017 13 inch (Core i5/Ram 8GB/ SSD 128GB),26.500.000 ,Hệ điều hành: :macOS Sierra,Ram: 8GB of 2133 MHz RAM,Đồ hoạ: Integrated Intel Iris Graphics 640,Màn hình : 13.3″ 2560 x 1600 Retina Display,Ổ cứng: 128GB PCIe SSD,Điểm hiệu năng: 5.64 MS,Khe cắm: 2 x Thunderbolt 3 (USB Type-C) Ports,"Thiết bị nghe nhìn: 720p FaceTime HD Camera & Dual Mics, 3.5mm Headphones Jack | Stereo Speakers",WiFi: 802.11ac Wi-Fi,Bluetooth: Bluetooth 4.2,BẢO HÀNH 1 NĂM.,https://macstores.vn/macbook-pro-mpxq2-grey.html,macstores.vn
