name,price_sale,cpu,ram,Màn hình:,Card màn hình:,rom,Kích thước và trọng lượng:,Camera:,Cổng kết nối:,Pin và sạc:,url,website
Macbook Pro Retina 15 inch 2015  i7 2.8Ghz 1TB 16GB Cũ,"29,850,000 ",2.8 GHz Quad-Core Intel Core i7 (Turbo Boost 3.7 GHz),16 GB 1600MHz DDR3L, ,Integrated Intel Iris Graphics + AMD Radeon R9 M370X with 2GB GDDR5 memory,1TB, , ,"Thunderbolt 2, USB 3.0, HDMI",,/macbook-pro/macbook-pro-retina-15-inch-2015-i7-2-8ghz-1tb-16gb-cu.html,truesmart.com.vn
Macbook 12 inch 2018 Core M3 256GB 8GB RAM - CPO,"19,450,000 ",1.2GHz dual-core 7th-generation Intel Core m3 processor,8GB 1866MHz LPDDR3 memory,12-inch (diagonal) LED-backlit display with IPS technology,Intel HD Graphics 615,256GB SSD storage1,1.31 x 28.05 x 9.65 - 0.92 kg,720p FaceTime camera,1 USB-C port,Built-in 41.4-watt-hour lithium-polymer battery. 30W USB-C Power Adapter,/macbook-12-inch/macbook-12-inch-2018-core-m3-256gb-8gb-ram-cpo.html,truesmart.com.vn
Macbook Air 13 inch 2016 Core i7 256GB 8GB RAM Cũ,"17,250,000 ",CPU 2.2 GHz Intel Core i7 (Broadwell),Ram 8GB of 1600 MHz LPDDR3,Màn hình 13.3″ LED-Backlit Glossy Display1440 x 900 Native Resolution,VGA Integrated Intel HD Graphics 6000,SSD 256GB PCIe-Based Flash Storage,1.7 x 32.5 x 22.7 cm - 1.35 kg,"720p FaceTime HD Camera, SDXC Card Slot","USB 3.0, Thunderbolt 2",,/macbook-air/macbook-air-13-inch-2016-core-i7-256gb-8gb-ram-cu.html,truesmart.com.vn
Macbook Air 13 inch 2020 Core i5 512GB 8GB RAM - NEW,"32,450,000 ",1.1GHz quad-core 10th-generation Intel Core i5-1030G7 processor,8GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Plus Graphics,512 GB,1.29 kg,720p FaceTime HD,Two Thunderbolt 3 (USB-C),Built-in 49.9‑watt‑hour; 30W USB-C Power Adapter,/macbook-air/macbook-air-13-inch-2020-core-i5-512gb-8gb-ram-new.html,truesmart.com.vn
Macbook Air 13 inch 2019 Core i5 256GB 8GB RAM - CPO,"23,750,000 ",Core i5 1.6GHz dual-core 8th-generation - 8210Y,8GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel UHD Graphics 617 graphics,"SSD, 256 GB",1.25 kg,720p FaceTime HD,Two Thunderbolt 3 ports,49.9 W h Li-Poly,/macbook-air/macbook-air-13-inch-2019-core-i5-256gb-8gb-ram-cpo.html,truesmart.com.vn
Macbook Air 13 inch 2019 Core i5 256GB 8GB RAM Cũ,"22,250,000 ",Core i5 1.6GHz dual-core 8th-generation - 8210Y,8GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel UHD Graphics 617 graphics,"SSD, 256 GB",1.25 kg,720p FaceTime HD,Two Thunderbolt 3 ports,49.9 W h Li-Poly,/macbook-air/macbook-air-13-inch-2019-core-i5-256gb-8gb-ram-cu.html,truesmart.com.vn
Macbook Air 13 inch 2018 Core i5 128GB 8GB RAM Cũ,"19,850,000 ",1.6GHz dual-core 8th-generation Intel Core i5,8GB 2133MHz LPDDR3,13.3inch Retina,Intel UHD Graphics 617,SSD: 128GB,1.56 x 30.41 x 21.24 cm - 1.25 kg,720p FaceTime HD camera,2 Thunderbolt 3 (USB-C),Built-in 50.3‑watt‑hour lithium‑polymer battery. 30W USB-C Power Adapter,/macbook-air/macbook-air-13-inch-2018-core-i5-128gb-8gb-ram-cu.html,truesmart.com.vn
Macbook Air 13 inch 2019 Core i5 256GB 8GB RAM - NEW,Liên h,Core i5 1.6GHz dual-core 8th-generation - 8210Y,8GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel UHD Graphics 617 graphics,"SSD, 256 GB",1.25 kg,720p FaceTime HD,Two Thunderbolt 3 ports,49.9 W h Li-Poly,/macbook-air/macbook-air-13-inch-2019-core-i5-256gb-8gb-ram-new.html,truesmart.com.vn
Macbook Air 13 inch 2018 Core i5 256GB 8GB RAM Cũ,"21,550,000 ",1.6GHz dual-core 8th-generation Intel Core i5. Turbo Boost up to 3.6GHz,8GB 2133MHz LPDDR3,13.3inch Retina,Intel UHD Graphics 617,256GB, , ,Two Thunderbolt 3 ports,,/macbook-air/macbook-air-13-inch-2018-core-i5-256gb-8gb-ram-cu.html,truesmart.com.vn
Macbook Pro 2018 i7/16GB/256GB chính hãng 99%,"42,750,000 ",,16GB,,,256GB,,,,,/macbook-pro/macbook-pro-2018-i7-16gb-256gb-chinh-hang-99.html,truesmart.com.vn
Macbook Air 13 inch 2016 Core i5 256GB 8GB RAM Cũ,"15,550,000 ",Intel® Core™ i5-5250U Processor  1.6GHz Turbo Boost up to 2.7GHz,8GB of 1600MHz LPDDR3 onboard memory,13.3-inch (diagonal) LED-backlit glossy widescreen display with support for millions of colors,Intel HD Graphics 6000,256GB PCIe-based flash storage,1.7 x 32.5 x 22.7 cm - 1.35 kg,720p FaceTime HD camera,2 x USB 3; 1 x Thunderbolt 2; 1 x SDXC card slot; 1 x 3.5mm headphone jack,45W MagSafe 2 Power Adapter with cable management; MagSafe 2 power port,/macbook-air/macbook-air-13-inch-2016-core-i5-256gb-8gb-ram-cu.html,truesmart.com.vn
Macbook Air 13 inch 2019 Core i5 128GB 8GB RAM - NEW,"23,750,000 ",Core i5 1.6GHz dual-core 8th-generation - 8210Y,8GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel UHD Graphics 617 graphics,"SSD, 128 GB",1.25 kg,720p FaceTime HD,Two Thunderbolt 3 ports,49.9 W h Li-Poly,/macbook-air/macbook-air-13-inch-2019-core-i5-128gb-8gb-ram-new.html,truesmart.com.vn
Macbook Air 13 inch 2017 Core i5 128GB 8GB RAM Cũ,"15,850,000 ",1.8GHz Intel Core i5 (Broadwell),8GB of 1600 MHz LPDDR3,"13.3"" 1440 x 900 LED-Backlit Glossy",Intel HD Graphics 6000 (Tích hợp),128GB PCIe-Based Flash SSD,1.7 x 32.5 x 22.7 cm - 1.35 kg,720p FaceTime HD Camera,2 x USB 3; 1 x Thunderbolt 2; 1 x SDXC card slot; 1 x 3.5mm headphone jack,Pin 12 tiếng - 54-watt-hour lithium,/macbook-air/macbook-air-13-inch-2017-core-i5-128gb-8gb-ram-cu.html,truesmart.com.vn
Macbook Pro Touch Bar 13 inch 2019 (i5 128G/8G) Cũ,"25,450,000 ",,,,,128GB,,,,,/macbook-pro/macbook-pro-touch-bar-13-inch-2019-i5-128g-8g-cu.html,truesmart.com.vn
Macbook Pro Retina 2017 Touch Bar i7/256GB chính hãng 99%,"36,250,000 ",,,,,,,,,,/macbook-pro/macbook-pro-retina-2017-touch-bar-i7-256gb-chinh-hang-99.html,truesmart.com.vn
Macbook Air 13 inch 2020 Core i3 256GB 8GB RAM Cũ,"23,550,000 ",1.1GHz dual-core 10th-generation Intel Core i3-1000G4 processor,8GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Plus Graphics,256 GB,1.29 kg,720p FaceTime HD,Two Thunderbolt 3 (USB-C),Built-in 49.9‑watt‑hour; 30W USB-C Power Adapter,/macbook-air/macbook-air-13-inch-2020-core-i3-256gb-8gb-ram-cu.html,truesmart.com.vn
Macbook Pro Touch Bar 15 inch 2018 (Core i7/ 16GB/ 256GB) Cũ,"36,750,000 ",,16GB,,,256GB,,,,,/macbook-pro/macbook-pro-touch-bar-15-inch-2018-core-i7-16gb-256gb-cu.html,truesmart.com.vn
