name,price_sale,cpu,ram,Màn hình:,Card màn hình:,rom,Kích thước và trọng lượng:,Camera:,Cổng kết nối:,Pin và sạc:,url,website
MacBook Pro 2020 13 inch (Core i5 2.0GHz/ 1TB/ 16GB) NEW,Liên h,"Intel Core i5 2.0GHz quad‑core 10th‑generation, Turbo Boost up to 3.8GHz",16GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Plus Graphics,1TB SSD,1.4 kg,720p FaceTime HD,Four Thunderbolt 3 ports,58.2 W h Li-Poly,/macbook-pro/macbook-pro-2020-13-inch-core-i5-2-0ghz-1tb-16gb-new.html,truesmart.com.vn
Macbook Pro Touch Bar 13 inch 2019 i5 1.4GHz/ 128Gb/ 8GB Cũ,"25,450,000 ","Intel Core i5 1.4GHz quad‑core 8th‑generation, Turbo Boost up to 3.9GHz - 8257U",8GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Plus Graphics 645,"SSD, 128 GB",1.37 kg,720p FaceTime HD,Two Thunderbolt 3 ports,58.2 W h Li-Poly,/macbook-pro/macbook-pro-touch-bar-13-inch-2019-i5-1-4ghz-128gb-8gb-cu.html,truesmart.com.vn
Macbook Pro Retina 13 inch 2015 (Core i5 128GB 8Gb) Cũ,"16,750,000 ","Intel Core i5 1.4GHz quad‑core 8th‑generation, Turbo Boost up to 3.9GHz - 8257U",8GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Plus Graphics 645,"SSD, 128 GB",1.37 kg,720p FaceTime HD,Two Thunderbolt 3 ports,58.2 W h Li-Poly,/macbook-pro/macbook-pro-retina-13-inch-2015-core-i5-128gb-8gb-cu.html,truesmart.com.vn
Macbook Pro Touch Bar 13 inch 2017 (Core i5/ 512GB/ 16GB RAM) Cũ,"30,750,000 ",,16GB,,,512GB,,,,,/macbook-pro/macbook-pro-touch-bar-13-inch-2017-core-i5-512gb-16gb-ram-cu.html,truesmart.com.vn
MacBook Pro 2020 13 inch (Core i5 2.0GHz/512Gb/16GB) NEW,Liên h,"Intel Core i5 2.0GHz quad‑core 10th‑generation, Turbo Boost up to 3.8GHz",16GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Plus Graphics,512GB SSD,1.4 kg,720p FaceTime HD,Four Thunderbolt 3 ports,58.2 W h Li-Poly,/macbook-pro/macbook-pro-2020-13-inch-core-i5-2-0ghz-512gb-16gb-new.html,truesmart.com.vn
Macbook Pro Retina 13 inch 2015 Core i7 512GB 16GB Cũ,"24,450,000 ",3.1GHz Dual-core Intel Core i7 Broadwell,16GB 1866MHz LPDDR3 SDRAM,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Graphics 6100,SSD 512GB,(Kg) 1.58, ,,,/macbook-pro/macbook-pro-retina-13-inch-2015-core-i7-512gb-16gb-cu.html,truesmart.com.vn
Macbook Pro Retina 13 inch 2015 Core i5 512GB 16GB Cũ,"22,450,000 ",2.9GHz Dual-core Intel Core i5 Broadwell (Turbo Boost up to 3.3GHz),16GB 1866MHz LPDDR3 SDRAM,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Graphics 6100,SSD 512GB,(Kg) 1.58, , ,,/macbook-pro/macbook-pro-retina-13-inch-2015-core-i5-512gb-16gb-cu.html,truesmart.com.vn
Macbook Pro Retina 13 inch 2015 Core i5 512GB 8GB Cũ,"21,450,000 ",2.9GHz Dual-core Intel Core i5 Broadwell (Turbo Boost up to 3.3GHz),8GB 1866MHz LPDDR3 SDRAM,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Graphics 6100,SSD 512GB,(Kg) 1.58, , ,,/macbook-pro/macbook-pro-retina-13-inch-2015-core-i5-512gb-8gb-cu.html,truesmart.com.vn
Macbook Pro Retina 13 inch 2015 Core i5 16GB 256GB Cũ,"20,750,000 ",Intel Core i5 2.7GHz Dual-core,16GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Graphics 6100,"SSD, 256 GB",1.58 kg,720p FaceTime HD,"Thunderbolt 2, USB 3.0, HDMI",Lithium- polymer,/macbook-pro/macbook-pro-retina-13-inch-2015-core-i5-16gb-256gb-cu.html,truesmart.com.vn
Macbook Pro Touch Bar 13 inch 2019 (i5 128G/8G Ram) NEW,"29,950,000 ",,,,,128GB,,,,,/macbook-pro/macbook-pro-touch-bar-13-inch-2019-i5-128g-8g-ram-new.html,truesmart.com.vn
Macbook Pro Retina 15 inch 2015 Core i7 256GB 16GB Cũ,"25,250,000 ",Intel Core i7 2.2 GHz Quad-Core (Turbo Boost 3.4 GHz) Crystalwell,16GB,"15.4 inch, Retina ( 2880 x 1800 pixels)",Integrated Intel Iris Graphics,"SSD, 256 GB",2.04 kg,720p FaceTime HD,"Thunderbolt 2, USB 3.0, HDMI",Lithium- polymer,/macbook-pro/macbook-pro-retina-15-inch-2015-core-i7-256gb-16gb-cu.html,truesmart.com.vn
Macbook Pro Retina 15 inch 2015 Core i7 512GB 16GB Cũ,"27,450,000 ",Intel Core i7 2.5 GHz Quad-Core (Turbo Boost 3.4 GHz) Crystalwell,16 GB,"15.4 inch, Retina (2880 x 1800 pixels)",Integrated Intel Iris Graphics + AMD Radeon R9 M370X with 2GB GDDR5 memory,512 GB,2.04 kg,720p FaceTime HD,"Thunderbolt 2, USB 3.0, HDMI",Lithium- polymer,/macbook-pro/macbook-pro-retina-15-inch-2015-core-i7-512gb-16gb-cu.html,truesmart.com.vn
Macbook Pro Retina 13 inch 2015 (Core i5 8GB 256GB) Cũ,Liên h,"Intel Core i5 Broadwell, 5257U, 2.70 GHz",8GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Graphics 6100,"SSD, 256 GB",1.58kg,720p FaceTime HD,2 x USB 3.0,Lithium- polymer,/macbook-pro/macbook-pro-retina-13-inch-2015-core-i5-8gb-256gb-cu.html,truesmart.com.vn
MacBook Pro 2020 13 inch (Core i5 1.4GHz/ 512Gb/ 8GB) NEW,"38,950,000 ","Intel Core i5 1.4GHz quad‑core 8th‑generation, Turbo Boost up to 3.9GHz",8GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Plus Graphics 645,512GB SSD,1.4 kg,720p FaceTime HD,Two Thunderbolt 3 ports,58.2 W h Li-Poly,/macbook-pro/macbook-pro-2020-13-inch-core-i5-1-4ghz-512gb-8gb-new.html,truesmart.com.vn
Macbook Pro Touch Bar 15 inch 2019 (Core i7/ 16GB/ 256GB) Cũ,"41,850,000 ",,16GB,,,256GB,,,,,/macbook-pro/macbook-pro-touch-bar-15-inch-2019-core-i7-16gb-256gb-cu.html,truesmart.com.vn
Macbook Pro Touch Bar 15 inch 2019 (Core i9/ 16GB/ 512GB) Cũ,"44,950,000 ",,16GB,,,512GB,,,,,/macbook-pro/macbook-pro-touch-bar-15-inch-2019-core-i9-16gb-512gb-cu.html,truesmart.com.vn
Macbook Pro Touch Bar 13 inch 2018 (Core i5/ 256GB/ 8GB) Cũ,"28,850,000 ",,,,,256GB,,,,,/macbook-pro/macbook-pro-touch-bar-13-inch-2018-core-i5-256gb-8gb-cu.html,truesmart.com.vn
Macbook Pro Touch Bar 13 inch 2019 (i5 512G/ 8G) NEW,Liên h,,,,,512GB,,,,,/macbook-pro/macbook-pro-touch-bar-13-inch-2019-i5-512g-8g-new.html,truesmart.com.vn
MacBook Pro Touch Bar 15 inch 2016 VGA 4GB Cũ,"32,850,000 ",2.9GHz quad-core Intel Quad Core i7 processor Turbo Boost up to 3.8GHz,16GB,"15.4 inch, Retina ( 2880 x 1800 pixels)",Radeon Pro 460 4GB memory,"SSD, 512 GB",1.83 kg,720p FaceTime HD,4 cổng Thunderbolt 3 ports,83.6 W h Li-Poly,/macbook-pro/macbook-pro-touch-bar-15-inch-2016-vga-4gb-cu.html,truesmart.com.vn
