name,price_sale,price,shipping,cpu,params_1,ram,rom,display,params_2,params_3,params_4,url,website
"Macbook Air M1 13 inch 2020 - Apple M1 8-Core CPU / 8GB / 512GB SSD   (MGN73,MGNA3,MGNE3 )",29.500.000,29.500.000,Phí giao hàng: 0 đ,"Apple M1 chip with 8‑core CPU, ‑core GPU, and 16‑core Neural Engine",Magic Keyboard,8GB unified memory,512GB SSD storage¹,Retina display with True Tone,Touch ID,Force Touch trackpad,Two Thunderbolt / USB 4 ports,https://mac24h.vn/macbook-air-13-inch-2020-apple-m1-8-core-cpu-8gb-512gb-ssd-mgn73-mgna3-mgne3.html,mac24h.vn
【CTO】Macbook Air M1 13 inch 2020 - Apple M1 8-Core CPU / 16GB / 1TB SSD,42.700.000,42.700.000,Phí giao hàng: 0 đ,"Apple M1 chip with 8‑core CPU, 7‑core GPU, and 16‑core Neural Engine",Magic Keyboard,16GB unified memory,1TB SSD storage¹,Retina display with True Tone,Touch ID,Force Touch trackpad,Two Thunderbolt / USB 4 ports,https://mac24h.vn/cto-macbook-pro-13-inch-2020-apple-m1-8-core-cpu-16gb-2tb-ssd-en.html,mac24h.vn
"Macbook Air 2020 13 inch Core I5 8GB 512GB (MVH22 , MVH42, MVH52)",,,Phí giao hàng: 0 đ,Intel Iris Plus Graphics & Retina display with True Tone,Turbo Boost up to 3.5GHz,8GB 3733MHz LPDDR4X memory,512GB SSD storage¹,,Magic Keyboard ,Touch ID,Force Touch trackpad,https://mac24h.vn/macbook-air-2020-13-inch-core-i5-8gb-512gb.html,mac24h.vn
Macbook Pro 13 inch 2020 Quad Core I7 2.3Ghz 32GB 1000GB,50.900.000,50.900.000,Phí giao hàng: 0 đ,Intel Iris Plus Graphics,Magic Keyboard,32GB 3733MHz LPDDR4X memory,1000GB SSD storage¹,13-inch Retina display with True Tone,Touch Bar and Touch ID,Four Thunderbolt 3 ports,,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i7-2.3ghz-32gb-1000gb.html,mac24h.vn
"Macbook Air M1 13 inch 2020 - Apple M1 8-Core CPU / 8GB / 256GB SSD    (MGN63,MGN93,MGND3 )",24.700.000,24.700.000,Phí giao hàng: 0 đ,"Apple M1 chip with 8‑core CPU, 7‑core GPU, and 16‑core Neural Engine", :  ,8GB unified memory || (,256GB SSD storage¹,Retina display with True Tone, ) ,Magic Keyboard,Touch ID,https://mac24h.vn/macbook-air-13-inch-2020-apple-m1-8-core-cpu-8gb-256gb-ssd-mgn63-mgn93-mgnd3.html,mac24h.vn
Macbook Pro 16 inch 2.3GHz 8-Core I9  32GB  1TB SSD Radeon Pro 5500M 8GB,84.500.000,84.500.000,Phí giao hàng: 0 đ,"2.3GHz 8‑core 9th‑generation Intel Core i9 processor, Turbo Boost up to 4.8GHz",Four Thunderbolt 3 ports,AMD Radeon Pro 5500M with 8GB of GDDR6 memory,1TB SSD storage,16-inch Retina display with True Tone,Touch Bar and Touch ID,Backlit Keyboard - US English,Accessory Kit,https://mac24h.vn/macbook-pro-16-inch-2.3ghz-8-core-32gb-1tb-ssd-radeon-pro-5500m-8gb.html,mac24h.vn
【CTO】 Macbook Pro 13 inch 2020 - Apple M1 8-Core CPU / 16GB / 512GB SSD,41.500.000,41.500.000,Phí giao hàng: 0 đ,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",Magic Keyboard,16GB unified memory,512GB SSD storage¹,13-inch Retina display with True Tone,Touch Bar and Touch ID,Force Touch trackpad,Two Thunderbolt / USB 4 ports,https://mac24h.vn/cto-macbook-pro-13-inch-2020-apple-m1-8-core-cpu-16gb-512gb-ssd.html,mac24h.vn
【CTO】 Macbook Pro M1 13 inch 2020 - Apple M1 8-Core CPU / 16GB / 256GB SSD,36.900.000,36.900.000,Phí giao hàng: 0 đ,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",Magic Keyboard,16GB unified memory,256GB SSD storage¹,13-inch Retina display with True Tone,Touch Bar and Touch ID,Force Touch trackpad,Two Thunderbolt / USB 4 ports,https://mac24h.vn/macbook-pro-13-inch-2020-apple-m1-8-core-cpu-16gb-256gb-ssd.html,mac24h.vn
【 New 99%  】Macbook Pro 16 inch 2.6GHz 6-Core I7 32GB 512GB SSD Radeon Pro 5300M ( MVVL2 ),46.500.000,46.500.000,Phí giao hàng: 0 đ,2.6GHz 6-core 9th-generation Intel Core i7 processor,Turbo Boost up to 4.5GHz, 2666MHz DDR4 memory,512GB SSD storage¹,16-inch Retina display with True Tone,Touch Bar and Touch ID,Four Thunderbolt 3 ports,,https://mac24h.vn/like-new-99-macbook-pro-16-inch-2.6ghz-6-core-i7-32gb-512gb-ssd-radeon-pro-5300m-mvvj2.html,mac24h.vn
【CTO】Macbook Air 2020 13 inch Core I5 16GB 256GB,24.500.000,24.500.000,Phí giao hàng: 0 đ,Intel Iris Plus Graphics & Retina display with True Tone,Turbo Boost up to 3.5GHz,16GB 3733MHz LPDDR4X memory,256GB SSD storage¹,,Magic Keyboard ,Touch ID,Force Touch trackpad,https://mac24h.vn/ctomacbook-air-2020-13-inch-core-i5-16gb-256gb.html,mac24h.vn
