bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,    Apple A9X ,     5 MP,,https://www.viettablet.com/ipad-pro-97-inch-2016-128gb-wifi-cpo-nguyen-seal,iPad Pro 9.7 inch 2016 128GB Wifi (CPO) Mới 100% Nguyên Seal Chưa Active,"    iOS 9.3.2, upgradable to iOS 12.4",,,10.390.000,    2GB,     12 MP,    1536 x 2048 pixels,     128 GB,    9.7 inches,,,,,,,
,,    Apple A12X Bionic,    7 MP,,https://www.viettablet.com/ipad-pro-12.9-inch-2018-wifi-4g-4gb-256gb-like-new,iPad Pro 12.9 inch (2018) Wifi / 4G 256GB Like New 99%,"    iOS 12, upgradable to iOS 12.4",,,20.490.000,    4GB,     12 MP,    2048 x 2732 pixels,    256GB,    12.9 inches,,,,,,,
,,    Apple A12 Bionic (7 nm),"    1.2 MP, f/2.2, 31mm (standard)",,https://www.viettablet.com/ipad-gen-8-10.2-inch-2020-128gb-wifi-4g,iPad Gen 8 10.2 inch (2020) 128GB (Wifi + 4G) VN/A,    iPadOS 14,,,13.290.000,    3GB,"    8 MP, f/2.4, 31mm",    1620 x 2160 pixel,     128 GB,    10.2 inches,,,,,,,
,,    Apple A12X Bionic,    7 MP,,https://www.viettablet.com/ipad-pro-11-inch-2018-wifi-256gb,iPad Pro 11 inch (2018) Wifi 256GB,"    iOS 12, upgradable to iOS 12.4",,,21.000.000,    4GB,     12 MP,    1668 x 2388 pixels,    256GB,    11 inches ,,,,,,,
,,    Apple A12Z Bionic,"    7 MP, f/2.2",,https://www.viettablet.com/ipad-pro-129-inch-2020-wifi-4g-6gb-256gb,iPad Pro 12.9 inch (2020) 256GB (Wifi + 4G) VN/A,    iPadOS 14,,,31.590.000,    6 GB,    3 ống kính,    2048 x 2732 pixels,    256GB,    12.9 inches,,,,,,,
,,,,,https://www.viettablet.com/xiaomi-mi-pad-5,Xiaomi Mi Pad 5,    Android 10,,,,,,,,,,,,,,,
,,    Apple A12Z Bionic,"    7 MP, f/2.2",,https://www.viettablet.com/ipad-pro-11-inch-2020-wifi-4g-6gb-512gb,iPad Pro 11 inch (2020) 512GB (Wifi + 4G) Chính hãng VN,    iPadOS 14,,,31.490.000,    6 GB,    3 ống kính,    1668 x 2388 pixels,    512GB,    11 inches ,,,,,,,
,,    Apple A12Z Bionic,"    7 MP, f/2.2",,https://www.viettablet.com/ipad-pro-12.9-inch-2020-256gb-wifi,iPad Pro 12.9 inch 256GB (2020) Wifi Mới 100%,    iPadOS 14,,,24.890.000,    6 GB,    3 ống kính,    2048 x 2732 pixels,    256GB,    12.9 inches,,,,,,,
,,    Apple A9X ,     5 MP,,https://www.viettablet.com/ipad-pro-9.7-32gb-2016-like-new-99-wifi,iPad Pro 9.7 32GB 2016 Like New 99% Wifi,"    iOS 9.3.2, upgradable to iOS 12.4",,,6.690.000,    2GB,     12 MP,    1536 x 2048 pixels,    32GB/128GB ,    9.7 inches,,,,,,,
,,    Apple A9X ,     5 MP,,https://www.viettablet.com/ipad-pro-9.7-2016-128gb-like-new-99-wifi,iPad Pro 9.7 (2016) 128GB Like New 99% Wifi,"    iOS 9.3.2, upgradable to iOS 12.4",,,7.990.000,    2GB,     12 MP,    1536 x 2048 pixels,    128GB,    9.7 inches,,,,,,,
,,    Apple M1,    12 MP,,https://www.viettablet.com/ipad-pro-11-inch-2021-wifi-8gb-128gb-cong-ty-vn-a,iPad Pro 11 inch (2021) Wifi (128GB) Công Ty VN/A,    iPadOS 14.5,,,21.990.000,    8GB,    3 camera,    1668 x 2388 pixels,     128 GB,    11.0 inches,,,,,,,
,,    Apple M1,    12 MP,,https://www.viettablet.com/ipad-pro-11-inch-2021-5g-8gb-128gb-vna,iPad Pro 11 inch (2021) 5G (8GB - 128GB) Công Ty VN/A,    iPadOS 14.5,,,25.990.000,    8GB,    3 camera,    1668 x 2388 pixels,     128 GB,    11.0 inches,,,,,,,
,,    Apple A8,    1.2 MP,,https://www.viettablet.com/ipad-mini-4-16gb-4g-cu-like-new-99-clone-vi,iPad Mini 4 16GB Wifi Cũ like new 99%,"    iOS 9, upgradable to iOS 12.4",,,4.790.000,    2GB,    8 MP,    1536 x 2048 pixels,    16GB,    7.9 inches,,,,,,,
,,,,,https://www.viettablet.com/xiaomi-mi-pad-5-plus,Xiaomi Mi Pad 5 Plus,    Android 10,,,,,,,,,,,,,,,
,,    Apple A12Z Bionic,"    7 MP, f/2.2",,https://www.viettablet.com/ipad-pro-12.9-inch-2020-128gb-wifi-4g,iPad Pro 12.9 inch (2020) 128GB (Wifi + 4G) Chính Hãng VN,    iPadOS 14,,,29.490.000,    6 GB,    3 ống kính,    2048 x 2732 pixels,     128 GB,    12.9 inches,,,,,,,
,,    Apple M1,    12 MP,,https://www.viettablet.com/ipad-pro-12.9-inch-2021-wifi-8gb-128gb-cong-ty-vn-a,iPad Pro 12.9 inch (2021) Wifi (128GB) Công Ty VN/A,    iPadOS 14.5,,,29.990.000,    8GB,    3 camera,    2048 x 2732 pixels,     128 GB,    12.9 inches,,,,,,,
,,    Apple M1,    12 MP,,https://www.viettablet.com/ipad-pro-129-inch-2021-5g-8gb-128gb-cong-ty-vn-a,iPad Pro 12.9 inch (2021) 5G (128GB) Công Ty VN/A,    iPadOS 14.5,,,33.990.000,    8GB,    3 camera,    2048 x 2732 pixels,     128 GB,    12.9 inches,,,,,,,
,,    Apple A14 Bionic (5 nm),"    7 MP, f/2.0",,https://www.viettablet.com/ipad-air-4-2020-256gb-wifi-4g-cu-like-new-99,iPad Air 4 (2020) - 256GB (Wifi),    iPadOS 14,,,17.400.000,,"    12 MP, f/1.8",    1640 x 2360,    256GB,    10.9 inches,,,,,,,
,,    Apple M1,    12 MP,,https://www.viettablet.com/ipad-pro-12.9-inch-2021-5g-512gb-cong-ty-vn-a,iPad Pro 12.9 inch (2021) 5G (512GB) Công Ty VN/A,    iPadOS 14.5,,,42.990.000,    8GB,    3 camera,    2048 x 2732 pixels,    512 GB,    12.9 inches,,,,,,,
,,    Apple M1,    12 MP,,https://www.viettablet.com/ipad-pro-11-inch-2021-5g-512gb-cong-ty-vn-a,iPad Pro 11 inch (2021) 5G (512GB) Công Ty VN/A,    iPadOS 14.5,,,35.990.000,    8GB,    3 camera,    1668 x 2388 pixels,    512 GB,    11.0 inches,,,,,,,
,,    Apple M1,    12 MP,,https://www.viettablet.com/ipad-pro-12.9-inch-2021-5g-256gb-cong-ty-vn-a,iPad Pro 12.9 inch (2021) 5G (256GB) Công Ty VN/A,    iPadOS 14.5,,,37.990.000,    8GB,    3 camera,    2048 x 2732 pixels,    256GB,    12.9 inches,,,,,,,
,,    Apple M1,    12 MP,,https://www.viettablet.com/ipad-pro-12.9-inch-2021-wifi-512gb-cong-ty-vn-a,iPad Pro 12.9 inch (2021) Wifi (512GB) Công Ty VN/A,    iPadOS 14.5,,,38.990.000,    8GB,    3 camera,    2048 x 2732 pixels,    512GB,    12.9 inches,,,,,,,
,,    Apple M1,    12 MP,,https://www.viettablet.com/ipad-pro-12.9-inch-2021-wifi-256gb-cong-ty-vn-a,iPad Pro 12.9 inch (2021) Wifi (256GB) Công Ty VN/A,    iPadOS 14.5,,,33.990.000,    8GB,    3 camera,    2048 x 2732 pixels,    256GB,    12.9 inches,,,,,,,
,,    Apple M1,    12 MP,,https://www.viettablet.com/ipad-pro-11-inch-2021-wifi-256gb-cong-ty-vn-a,iPad Pro 11 inch (2021) Wifi (256GB) Công Ty VN/A,    iPadOS 14.5,,,25.990.000,    8GB,    3 camera,    1668 x 2388 pixels,    256GB,    11.0 inches,,,,,,,
,,    Apple M1,    12 MP,,https://www.viettablet.com/ipad-pro-11-inch-2021-5g-256gb-cong-ty-vn-a,iPad Pro 11 inch (2021) 5G (256GB) Công Ty VN/A,    iPadOS 14.5,,,29.990.000,    8GB,    3 camera,    1668 x 2388 pixels,    256GB,    11.0 inches,,,,,,,
,,    Apple M1,    12 MP,,https://www.viettablet.com/ipad-pro-11-inch-2021-wifi-512gb-cong-ty-vn-a,iPad Pro 11 inch (2021) Wifi (512GB) Công Ty VN/A,    iPadOS 14.5,,,31.990.000,    8GB,    3 camera,    1668 x 2388 pixels,    512GB,    11.0 inches,,,,,,,
