bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
"5.0, A2DP, LE",,Apple A12 Bionic (7 nm),"7 MP, f/2.2, 32mm (standard)",Apple GPU (4-core graphics),https://dienthoaimoi.vn/iphone-xs-256gb-chinh-hang-vna-p62.html,iPhone XS 256GB Chính hãng VN/A,"iOS 12, hỗ trợ lên iOS 14",,,Liên hệ,4GB,"12 MP, f/1.8, 26mm (wide), 1/2.55\"", 1.4µm, dual pixel PDAF, OIS",1125 x 2436 pixels,256GB,5.8 inches,Super Retina OLED,"Nano-SIM, eSIM",143.6 x 70.9 x 7.7 mm (5.65 x 2.79 x 0.30 in),,,177 g (6.24 oz),Wi-Fi 802.11 a/b/g/n/ac
"4.2, A2DP, LE",,Apple A10 Fusion (16 nm),"7 MP, f/2.2, 32mm (standard)",PowerVR Series7XT Plus (six-core graphics),https://dienthoaimoi.vn/iphone-7-cu-256gb-quoc-te-sieu-luot-p25.html,iPhone 7 cũ siêu lướt 256GB Quốc tế,"iOS 10.0.1, hỗ trợ lên iOS 14",,,4.990.000 VND,2GB,"12 MP, f/1.8, 28mm (wide), 1/3\"", PDAF, OIS",750 x 1334 pixels,256GB,4.7 inches,Retina IPS LCD,Nano-SIM,138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in),,,138 g (4.87 oz),Wi-Fi 802.11 a/b/g/n/ac
"4.2, A2DP, LE",,Apple A10 Fusion (16 nm),"7 MP, f/2.2, 32mm (standard)",PowerVR Series7XT Plus (six-core graphics),https://dienthoaimoi.vn/iphone-7-cu-128gb-quoc-te-sieu-luot-p24.html,iPhone 7 cũ siêu lướt 128GB Quốc tế,"iOS 10.0.1, hỗ trợ lên iOS 14",,,4.490.000 VND,2GB,"12 MP, f/1.8, 28mm (wide), 1/3\"", PDAF, OIS",750 x 1334 pixels,128GB,4.7 inches,Retina IPS LCD,Nano-SIM,138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in),,,138 g (4.87 oz),Wi-Fi 802.11 a/b/g/n/ac
"4.2, A2DP, LE",,Apple A10 Fusion (16 nm),"7 MP, f/2.2, 32mm (standard)",PowerVR Series7XT Plus (six-core graphics),https://dienthoaimoi.vn/iphone-7-cu-32gb-quoc-te-sieu-luot-p23.html,iPhone 7 cũ siêu lướt 32GB Quốc tế,"iOS 10.0.1, hỗ trợ lên iOS 14",,,4.090.000 VND,2GB,"12 MP, f/1.8, 28mm (wide), 1/3\"", PDAF, OIS",750 x 1334 pixels,32GB,4.7 inches,Retina IPS LCD,Nano-SIM,138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in),,,138 g (4.87 oz),Wi-Fi 802.11 a/b/g/n/ac
"5.0, A2DP, LE",,Apple A11 Bionic (10 nm),"7 MP, f/2.2, 32mm (standard)",Apple GPU (three-core graphics),https://dienthoaimoi.vn/iphone-x-moi-256gb-quoc-te-p108.html,iPhone X 256GB - Mới ATO - Bảo hành 12 tháng 1 đổi 1 ,"iOS 11.1.1, hỗ trợ lên iOS 14",,,Liên hệ,3GB,"12 MP, f/1.8, 28mm (wide), 1/3\"", 1.22µm, dual pixel PDAF, OIS",1125 x 2436 pixels,256GB,5.8 inches,Super Retina OLED,Nano-SIM,143.6 x 70.9 x 7.7 mm (5.65 x 2.79 x 0.30 in),,,174 g (6.14 oz),Wi-Fi 802.11 a/b/g/n/ac
"5.0, A2DP, LE",,Apple A11 Bionic (10 nm),"7 MP, f/2.2, 32mm (standard)",Apple GPU (three-core graphics),https://dienthoaimoi.vn/iphone-x-moi-64gb-quoc-te-p107.html,iPhone X 64GB - Mới ATO - Bảo hành 12 tháng 1 đổi 1,"iOS 11.1.1, hỗ trợ lên iOS 14",,,8.890.000 VND,3GB,"12 MP, f/1.8, 28mm (wide), 1/3\"", 1.22µm, dual pixel PDAF, OIS",1125 x 2436 pixels,64GB,5.8 inches,Super Retina OLED,Nano-SIM,143.6 x 70.9 x 7.7 mm (5.65 x 2.79 x 0.30 in),,,174 g (6.14 oz),Wi-Fi 802.11 a/b/g/n/ac
"5.0, A2DP, LE",,Apple A11 Bionic (10 nm),"7 MP, f/2.2, 32mm (standard)",Apple GPU (three-core graphics),https://dienthoaimoi.vn/iphone-x-256gb-chinh-hang-vna-p56.html,iPhone X 256GB Chính hãng VN/A ,"iOS 11.1.1, hỗ trợ lên iOS 14",,,Liên hệ,3GB,"12 MP, f/1.8, 28mm (wide), 1/3\"", 1.22µm, dual pixel PDAF, OIS",1125 x 2436 pixels,256GB,5.8 inches,Super Retina OLED,Nano-SIM,143.6 x 70.9 x 7.7 mm (5.65 x 2.79 x 0.30 in),,,174 g (6.14 oz),Wi-Fi 802.11 a/b/g/n/ac
"5.0, A2DP, LE",,Apple A11 Bionic (10 nm),"7 MP, f/2.2, 32mm (standard)",Apple GPU (three-core graphics),https://dienthoaimoi.vn/iphone-x-64gb-chinh-hang-vna-p55.html,iPhone X 64GB Chính hãng VN/A,"iOS 11.1.1, hỗ trợ lên iOS 14",,,10.990.000 VND,3GB,"12 MP, f/1.8, 28mm (wide), 1/3\"", 1.22µm, dual pixel PDAF, OIS",1125 x 2436 pixels,64GB,5.8 inches,Super Retina OLED,Nano-SIM,143.6 x 70.9 x 7.7 mm (5.65 x 2.79 x 0.30 in),,,174 g (6.14 oz),Wi-Fi 802.11 a/b/g/n/ac
"4.2, A2DP, LE",,Apple A10 Fusion (16 nm),"7 MP, f/2.2, 32mm (standard)",PowerVR Series7XT Plus (six-core graphics),https://dienthoaimoi.vn/iphone-7-plus-cu-256gb-quoc-te-p494.html,iPhone 7 Plus cũ 256GB Quốc tế,"iOS 10.0.1, hỗ trợ lên iOS 14",,,6.190.000 VND,3GB,"12 MP, f/1.8, 28mm (wide), 1/3\"", PDAF, OIS",1080 x 1920 pixels,256GB,5.5 inches,Retina IPS LCD,Nano-SIM,158.2 x 77.9 x 7.3 mm (6.23 x 3.07 x 0.29 in),,,188 g (6.63 oz),Wi-Fi 802.11 a/b/g/n/ac
"5.0, A2DP, LE",,Apple A12 Bionic (7 nm),"7 MP, f/2.2, 32mm (standard)",Apple GPU (4-core graphics),https://dienthoaimoi.vn/iphone-xr-moi-128gb-quoc-te-p106.html,iPhone XR mới 128GB Quốc tế bản LL/A ,"iOS 12, hỗ trợ lên iOS 14",,,Liên hệ,3GB,"12 MP, f/1.8, 26mm (wide), 1/2.55\"", 1.4µm, PDAF, OIS",828 x 1792 pixels,128GB,6.1 inches,Liquid Retina IPS LCD,"Nano-SIM, eSIM",150.9 x 75.7 x 8.3 mm (5.94 x 2.98 x 0.33 in),,,194 g (6.84 oz),Wi-Fi 802.11 a/b/g/n/ac
"5.0, A2DP, LE",,Apple A12 Bionic (7 nm),"7 MP, f/2.2, 32mm (standard)",Apple GPU (4-core graphics),https://dienthoaimoi.vn/iphone-xr-moi-64gb-quoc-te-p105.html,iPhone XR mới 64GB Quốc tế bản LL/A,"iOS 12, hỗ trợ lên iOS 14",,,Liên hệ,3GB,"12 MP, f/1.8, 26mm (wide), 1/2.55\"", 1.4µm, PDAF, OIS",828 x 1792 pixels,64GB,6.1 inches,Liquid Retina IPS LCD,"Nano-SIM, eSIM",150.9 x 75.7 x 8.3 mm (5.94 x 2.98 x 0.33 in),,,194 g (6.84 oz),Wi-Fi 802.11 a/b/g/n/ac
