bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,Apple A13 Bionic 6 nhân (7nm+),12 MP,,https://www.xtmobile.vn/iphone-11-pro-256gb-like-new,iPhone 11 Pro 256GB (Cũ 99%),iOS,,,17.490.000,4 GB,12 MP + 12 MP + 12 MP,,256 GB,,"5.8"" Super Retina XDR",Nano-Sim,,,,,
,,Apple A13 Bionic 6 nhân (7nm+),12 MP,,https://www.xtmobile.vn/iphone-11-64gb-like-new,iPhone 11 64GB (Cũ 99%),iOS,,,12.690.000,4 GB,12 MP + 12 MP,,64 GB,,"6.1"" Liquid Retina LCD",Nano-Sim,,,,,
,,Apple A11 Bionic 6 nhân,7 MP,,https://www.xtmobile.vn/iphone-8-plus-256gb-may-cu-99,iPhone 8 Plus 256GB (Cũ 99%),iOS,,,8.890.000,3 GB,2 camera 12 MP,,256 GB,,"LED-backlit IPS LCD, 5.5"", Retina HD",1 Nano SIM,,,,,
,,Apple A10 Fusion 4 nhân 64-bit,7 MP,,https://www.xtmobile.vn/iphone-7-plus-128gb-likenew-97,iPhone 7 Plus 128GB (Cũ 97%),iOS,,,5.390.000,3 GB,2 camera 12 MP,,128 GB,,"LED-backlit IPS LCD, 5.5"", Retina HD",1 Nano SIM,,,,,
,,,,,https://www.xtmobile.vn/iphone-7-plus-256gb-ban-quoc-te-99,iPhone 7 Plus 256GB (Cũ 99%),,,,6.990.000,,,,,,,,,,,,
,,Apple A14 Bionic 6 nhân (5nm),12 MP,,https://www.xtmobile.vn/iphone-12-pro-max-128gb-cu,iPhone 12 Pro Max 128GB (Cũ 99%),iOS,,,25.590.000,6GB LPDDR5,12 MP + 12 MP + 12 MP + LiDAR,,128GB,,"6.7"" Super Retina XDR",Nano-Sim,,,,,
,,Apple A13 Bionic 6 nhân (7nm+),12 MP,,https://www.xtmobile.vn/iphone-11-pro-max-256gb-like-new,iPhone 11 Pro Max 256GB (Cũ 99%),iOS,,,20.190.000,4 GB,12 MP + 12 MP + 12 MP,,256 GB,,"6.5"" Super Retina XDR",Nano-Sim,,,,,
,,Apple A14 Bionic 6 nhân (5nm),12 MP,,https://www.xtmobile.vn/iphone-12-pro-max-256gb-vna,iPhone 12 Pro Max 256GB Chính hãng (VN/A),iOS,,,31.650.000,6GB LPDDR5,12 MP + 12 MP + 12 MP + LiDAR,,256GB,,"6.7"" Super Retina XDR",Nano-Sim,,,,,
,,A14 Bionic,12MP,,https://www.xtmobile.vn/iphone-12-pro-128gb,iPhone 12 Pro 128GB (Cũ 99%),iOS 14,,,21.990.000,6GB,"12MP, 12MP, 12MP",,128GB,,6.1 inch,1 Nano SIM và 1 eSIM,,,,,
,,Apple A10 Fusion 4 nhân 64-bit,7 MP,,https://www.xtmobile.vn/iphone-7-128gb-likenew-99-,iPhone 7 128GB (Cũ 99%),IOS,,,4.390.000,2 GB,12 MP,,128 GB,,"LED-backlit IPS LCD, 4.7"", Retina HD",1 Nano SIM,,,,,
,,A14 Bionic,12MP,,https://www.xtmobile.vn/iphone-12-pro-256gb,iPhone 12 Pro 256GB (Cũ 99%),iOS 14,,,23.990.000,6GB,"12MP, 12MP, 12MP",,256GB,,6.1 inch,1 Nano SIM và 1 eSIM,,,,,
,,Apple A14 Bionic 6 nhân (5nm),12 MP,,https://www.xtmobile.vn/iphone-12-pro-max-256gb-cu,iPhone 12 Pro Max 256GB (Cũ 99%),iOS,,,26.990.000,6GB LPDDR5,12 MP + 12 MP + 12 MP + LiDAR,,256GB,,"6.7"" Super Retina XDR",Nano-Sim,,,,,
,,Apple A13 Bionic 6 nhân (7nm+),12 MP,,https://www.xtmobile.vn/iphone-11-128gb-vn-a,iPhone 11 128GB Chính hãng (VN/A),iOS,,,17.390.000,4 GB,12 MP + 12 MP,,64 GB,,"6.1"" Liquid Retina LCD",Nano-Sim,,,,,
,,Apple A14 Bionic,12MP True Depth,,https://www.xtmobile.vn/iphone-12-128gb-vna,iPhone 12 128GB Chính hãng (VN/A),iOS 14,,,20.990.000,4GB,Camera kép 12 + 12MP góc rộng và góc siêu rộng,,128GB,,OLED,1 Nano Sim - 1 eSim,,,,,
,,Apple A10 Fusion 4 nhân 64-bit,7 MP,,https://www.xtmobile.vn/iphone-7-256gb-quoc-te-99-,iPhone 7 256GB (Cũ 99%),IOS,,,4.890.000,2 GB,12 MP,,256 GB,,"LED-backlit IPS LCD, 4.7"", Retina HD",1 Nano SIM,,,,,
,,Apple A14 Bionic,12MP,,https://www.xtmobile.vn/iphone-12-mini-128gb-vna,iPhone 12 mini 128GB Chính hãng (VN/A),iOS 14,,,17.990.000,4GB,2 camera: 12MP + 12MP,,128GB,,Super Retina XDR 5.4inch,1 Nano SIM và 1 eSIM,,,,,
,,Apple A13 Bionic 6 nhân (7nm+),12 MP,,https://www.xtmobile.vn/iphone-11-128gb-like-new,iPhone 11 128GB (Cũ 99%),iOS 13,,,14.390.000,4 GB,12 MP + 12 MP,,128 GB,,"6.1"" Liquid Retina LCD",Nano-Sim,,,,,
,,Apple A9 2 nhân 64-bit,5 MP,,https://www.xtmobile.vn/iphone-6s-128g-may-cu-99,iPhone 6s 128GB (Cũ 99%),IOS,,,3.590.000,2 GB,12 MP,,128 GB,,"LED-backlit IPS LCD, 4.7"", Retina HD",1 Nano SIM,,,,,
,,Apple A9 2 nhân 64-bit,5 MP,,https://www.xtmobile.vn/iphone-6s-plus-64g-99-likenew,iPhone 6s Plus 64GB (Cũ 99%),IOS,,,4.490.000,2 GB,12 MP,,64 GB,,"LED-backlit IPS LCD, 5.5"", Retina HD",1 Nano SIM,,,,,
,,Apple A14 Bionic,12MP,,https://www.xtmobile.vn/iphone-12-mini-64gb-vna,iPhone 12 mini 64GB Chính hãng (VN/A),iOS 14,,,15.990.000,4GB,2 camera: 12MP + 12MP,,64GB,,Super Retina XDR 5.4inch,1 Nano SIM và 1 eSIM,,,,,
,,Apple A14 Bionic,12MP True Depth,,https://www.xtmobile.vn/iphone-12-128gb-cu,iPhone 12 128GB (Cũ 99%),iOS 14,,,19.190.000,4GB,Camera kép 12 + 12MP góc rộng và góc siêu rộng,,128GB,,OLED,1 Nano Sim - 1 eSim,,,,,
,,Apple A14 Bionic,,,https://www.xtmobile.vn/iphone-12-mini-256gb-vna,iPhone 12 mini 256GB Chính hãng (VN/A),iOS 14,,,22.990.000,4GB,2 camera: 12MP + 12MP,,256GB,,Super Retina XDR 5.4inch,1 Nano SIM và 1 eSIM,,,,,
,,Apple A14 Bionic,12MP True Depth,,https://www.xtmobile.vn/iphone-12-256gb-vna,iPhone 12 256GB Chính Hãng (VN/A),iOS 14,,,28.090.000,4GB,Camera kép 12 + 12MP góc rộng và góc siêu rộng,,256GB,,OLED,1 Nano Sim - 1 eSim,,,,,
,,A14 Bionic,12MP,,https://www.xtmobile.vn/iphone-12-pro-256gb-vna,iPhone 12 Pro 256GB Chính hãng (VN/A),iOS 14,,,28.390.000,6GB,"12MP, 12MP, 12MP",,256GB,,6.1 inch,1 Nano SIM và 1 eSIM,,,,,
,,Apple A14 Bionic 6 nhân (5nm),12 MP,,https://www.xtmobile.vn/iphone-12-pro-max-512gb-vna,iPhone 12 Pro Max 512GB Chính hãng (VN/A),iOS,,,36.890.000,6GB LPDDR5,12 MP + 12 MP + 12 MP + LiDAR,,512GB,,"6.7"" Super Retina XDR",Nano-Sim,,,,,
,,A14 Bionic,12MP,,https://www.xtmobile.vn/iphone-12-pro-512gb-vna,iPhone 12 Pro 512GB Chính hãng (VN/A),iOS 14,,,37.990.000,6GB,"12MP, 12MP, 12MP",,512GB,,6.1 inch,1 Nano SIM và 1 eSIM,,,,,
,,Apple A10 Fusion 4 nhân 64-bit,7 MP,,https://www.xtmobile.vn/iphone-7-plus-32gb-refurbished,iPhone 7 Plus 32GB (Cũ 97%),IOS,,,4.690.000,3 GB,2 camera 12 MP,,32 GB,,"LED-backlit IPS LCD, 5.5"", Retina HD",1 Nano SIM,,,,,
,,Apple A12 Bionic 6 nhân,7 MP,,https://www.xtmobile.vn/iphone-xs-256gb-likenew,iPhone Xs 256GB (Cũ 97%),iOS,,,9.190.000,4 GB,2 camera 12 MP,,256 GB,,"OLED, 5.8"", Super Retina",1 Nano Sim,,,,,
,,Apple A12 Bionic 6 nhân,7 MP,,https://www.xtmobile.vn/iphone-xs-512gb-likenew-99-,iPhone Xs 512GB (Cũ 99%),iOS,,,10.790.000,4 GB,2 camera 12 MP,,512 GB,,"OLED, 5.8"", Super Retina",1 Nano Sim,,,,,
,,,,,https://www.xtmobile.vn/iphone-7-plus-256gb-ban-quoc-te-99,iPhone 7 Plus 256GB (Cũ 99%),,,,6.990.000,,,,,,,,,,,,
,,Apple A14 Bionic 6 nhân (5nm),12 MP,,https://www.xtmobile.vn/iphone-12-pro-max-128gb-cu,iPhone 12 Pro Max 128GB (Cũ 99%),iOS,,,25.590.000,6GB LPDDR5,12 MP + 12 MP + 12 MP + LiDAR,,128GB,,"6.7"" Super Retina XDR",Nano-Sim,,,,,
,,Apple A13 Bionic 6 nhân (7nm+),12 MP,,https://www.xtmobile.vn/iphone-11-pro-max-256gb-like-new,iPhone 11 Pro Max 256GB (Cũ 99%),iOS,,,20.190.000,4 GB,12 MP + 12 MP + 12 MP,,256 GB,,"6.5"" Super Retina XDR",Nano-Sim,,,,,
,,Apple A14 Bionic 6 nhân (5nm),12 MP,,https://www.xtmobile.vn/iphone-12-pro-max-256gb-vna,iPhone 12 Pro Max 256GB Chính hãng (VN/A),iOS,,,31.650.000,6GB LPDDR5,12 MP + 12 MP + 12 MP + LiDAR,,256GB,,"6.7"" Super Retina XDR",Nano-Sim,,,,,
