bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,    Apple A13 Bionic (7 nm+),    12 MP,,https://www.viettablet.com/iphone-11-pro-max-64gb-chua-active-tbh,iPhone 11 Pro Max 64GB VN/A Mới (Chưa Active - TBH),    iOS 13,,,20.990.000,    4GB,    3 Camera,    1242 x 2688 pixels,    64GB,    6.5 inches,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-xs-cu-256gb,iPhone XS 256GB (Like New 99%),    iOS 12,,,9.190.000,    4 GB,    2 camera 12 MP,    1125 x 2436 pixels,    256 GB,"    5.8""",,,,,,,
,,    Apple A13 Bionic (7 nm+),    2 Camera,,https://www.viettablet.com/iphone-11-pro-256gb-like-new-99,iPhone 11 Pro 256GB (Like New 99%),    iOS 13,,,15.990.000,    4GB,    3 Camera,    1125 x 2436 pixels,    256GB,    5.8 inches,,,,,,,
,,    Apple A13 Bionic (7 nm+),    12 MP,,https://www.viettablet.com/iphone-11-pro-max-256gb-like-new-99,iPhone 11 Pro Max 256GB (Like New 99%),    iOS 13,,,18.990.000,    4GB,    3 Camera,    1242 x 2688 pixels,    256 GB,    6.5 inches,,,,,,,
,,    Apple A14 Bionic (5 nm),"    12 MP, f/2.2 + SL 3D",,https://www.viettablet.com/iphone-12-pro-max-256gb-chinh-hang-vn,iPhone 12 Pro Max 256GB (Chính Hãng VN/A),    iOS 14,,,30.990.000,,    3 Camera,    1284 x 2778 pixels,    256GB,    6.7 inches,,,,,,,
,,    Apple A14 Bionic (5 nm),"    12 MP, f/2.2 + SL 3D",,https://www.viettablet.com/iphone-12-pro-max-512gb-chinh-hang-vn,iPhone 12 Pro Max 512GB (Chính Hãng VN/A),    iOS 14,,,36.990.000,,    3 Camera,    1284 x 2778 pixels,    512GB,    6.7 inches,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-xs-max-cu-like-new,iPhone XS Max 64GB Cũ Like New 99%,    iOS 12,,,10.490.000,    4GB,    2 camera 12 MP,    1242 x 2688 pixels,    64GB,    6.5 inch,,,,,,,
,,    Apple A14 Bionic (5 nm),"    12 MP, f/2.2 + SL 3D",,https://www.viettablet.com/iphone-12-pro-max-cu-like-new-99,iPhone 12 Pro Max 128GB (Like New 99%),    iOS 14,,,25.890.000,,    3 Camera,    1284 x 2778 pixels,     128 GB,    6.7 inches,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-xs-64gb-chua-active-tbh,iPhone XS 64GB mới 100% (Chưa Active - TBH ) Chính hãng,    iOS 12,,,10.490.000,    4 GB,    2 camera 12 MP,    1125 x 2436 pixels,    64 GB,"    5.8""",,,,,,,
,,    Apple A13 Bionic (7 nm+),    2 Camera,,https://www.viettablet.com/iphone-11-pro-64gb-chua-active-tbh,iPhone 11 Pro 64GB Mới (Chưa Active - TBH) VN/A,    iOS 13,,,17.990.000,    4GB,    3 Camera,    1125 x 2436 pixels,    64GB,    5.8 inches,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-xs-cu-512gb,iPhone XS 512GB (Like New 99%),    iOS 12,,,11.490.000,    4GB,    2 camera 12 MP,    1125 x 2436 pixels,    512 GB,    5.8 inch,,,,,,,
,,    Apple A13 Bionic (7 nm+),    12 MP,,https://www.viettablet.com/iphone-11-pro-max-512gb-like-new-99,iPhone 11 Pro Max 512GB (Like New 99%),    iOS 13,,,20.990.000,    4GB,    3 Camera,    1242 x 2688 pixels,    512 GB,    6.5 inches,,,,,,,
,,    Apple A13 Bionic (7 nm+),    2 Camera,,https://www.viettablet.com/iphone-11-pro-512gb-like-new-99,iPhone 11 Pro 512GB (Like New 99%),    iOS 13,,,17.990.000,    4GB,    3 Camera,    1125 x 2436 pixels,    512GB,    5.8 inches,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-xs,iPhone XS 64GB mới 100%,    iOS 12,,,13.590.000,    4 GB,    2 camera 12 MP,    1125 x 2436 pixels,    64GB,     5.8 inch,,,,,,,
,,    Apple A13 Bionic (7 nm+),    12 MP,,https://www.viettablet.com/iphone-11-pro-max-64gb,iPhone 11 Pro Max 64GB Mới 100% Full Box,    iOS 13,,,23.590.000,    4GB,    3 Camera,    1242 x 2688 pixels,    64GB,    6.5 inches,,,,,,,
,,    Apple A14 Bionic (5 nm),"    12 MP, f/2.2 + SL 3D",,https://www.viettablet.com/iphone-12-pro-max-256gb-like-new-99,iPhone 12 Pro Max 256GB (Like New 99%),    iOS 14,,,27.990.000,,    3 Camera,    1284 x 2778 pixels,    256GB,    6.7 inches,,,,,,,
,,    Apple A13 Bionic (7 nm+),    2 Camera,,https://www.viettablet.com/iphone-11-pro-256gb-chua-active-tbh,iPhone 11 Pro 256GB Mới (Chưa Active - TBH) VN/A,    iOS 13,,,20.990.000,    4GB,    3 Camera,    1125 x 2436 pixels,    256GB,    5.8 inches,,,,,,,
,,    Apple A13 Bionic (7 nm+),    12 MP,,https://www.viettablet.com/iphone-11-pro-max-256gb-ban-my,iPhone 11 Pro Max 256GB,    iOS 13,,,25.590.000,    4GB,    3 Camera,    1242 x 2688 pixels,    256GB,    6.5 inches,,,,,,,
,,    Apple A13 Bionic (7 nm+),    2 Camera,,https://www.viettablet.com/iphone-11-pro-64gb,iPhone 11 Pro 64GB Mới 100% Full Box,    iOS 13,,,17.990.000,    4GB,    3 Camera,    1125 x 2436 pixels,    64GB,    5.8 inches,,,,,,,
,,    Apple A14 Bionic (5 nm),"    12 MP, f/2.2 + SL 3D",,https://www.viettablet.com/iphone-12-pro-max-512gb-like-new-99,iPhone 12 Pro Max 512GB (Like New 99%),    iOS 14,,,31.590.000,,    3 Camera,    1284 x 2778 pixels,    512GB,    6.7 inches,,,,,,,
,,    Apple A14 Bionic (5 nm),"    12 MP, f/2.2 + SL 3D",,https://www.viettablet.com/iphone-12-pro-128gb-vna,iPhone 12 Pro 128GB (Chính Hãng VN/A),    iOS 14,,,25.990.000,,    3 Camera,    1170 x 2532 pixels,    128GB,    6.1 inches,,,,,,,
,,    Apple A13 Bionic (7 nm+),    12 MP,,https://www.viettablet.com/iphone-11-pro-max-512gb-ban-my,iPhone 11 Pro Max 512GB,    iOS 13,,,29.990.000,    4GB,    3 Camera,    1242 x 2688 pixels,    512GB,    6.5 inches,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-xs-256gb-chua-active-tbh,iPhone XS 256GB mới 100% (Chưa Active - TBH),    iOS 12,,,11.490.000,    4GB,     2 camera 12 MP,    1125 x 2436 pixels,    256 GB,     5.8 inch,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-xs-max-256gb-cu,iPhone XS Max 256GB (Like New 99%),    iOS 12,,,11.990.000,    4 GB,     2 camera 12 MP,    1242 x 2688 pixels,    256 GB,    6.5 inch,,,,,,,
,,    Apple A13 Bionic (7 nm+),    2 Camera,,https://www.viettablet.com/iphone-11-pro-256gb-ban-my,iPhone 11 Pro 256GB,    iOS 13,,,20.990.000,    4GB,    3 Camera,    1125 x 2436 pixels,    256GB,    5.8 inches,,,,,,,
,,    Apple A14 Bionic (5 nm),"    12 MP, f/2.2 + SL 3D",,https://www.viettablet.com/iphone-12-pro-256gb-vna,iPhone 12 Pro 256GB (Chính Hãng VN/A),    iOS 14,,,27.990.000,,    3 Camera,    1170 x 2532 pixels,    256GB,    6.1 inches,,,,,,,
,,    Apple A13 Bionic (7 nm+),    12 MP,,https://www.viettablet.com/iphone-11-pro-max-256gb-chua-active-tbh,iPhone 11 Pro Max 256GB VN/A Mới (Chưa Active - TBH)	,    iOS 13,,,22.490.000,    4GB,    3 Camera,    1242 x 2688 pixels,    256GB,    6.5 inches,,,,,,,
,,    Apple A14 Bionic (5 nm),"    12 MP, f/2.2 + SL 3D",,https://www.viettablet.com/iphone-12-pro-cu-like-new-99,iPhone 12 Pro 128GB (Like New 99%),    iOS 14,,,22.390.000,,    3 Camera,    1170 x 2532 pixels,     128 GB,    6.1 inches,,,,,,,
,,    Apple A14 Bionic (5 nm),"    12 MP, f/2.2 + SL 3D",,https://www.viettablet.com/iphone-12-pro-512gb-vna,iPhone 12 Pro 512GB (Chính Hãng VN/A),    iOS 14,,,33.790.000,,    3 Camera,    1170 x 2532 pixels,    512GB,    6.1 inches,,,,,,,
,,    Apple A13 Bionic (7 nm+),    12 MP,,https://www.viettablet.com/iphone-11-pro-max-512gb-chua-active-tbh,iPhone 11 Pro Max 512GB VN/A Mới Fullbox (Chưa Active - TBH)	,    iOS 13,,,25.490.000,    4GB,    3 Camera,    1242 x 2688 pixels,    512GB,    6.5 inches,,,,,,,
,,    Apple A14 Bionic (5 nm),"    12 MP, f/2.2 + SL 3D",,https://www.viettablet.com/iphone-12-pro-256gb-like-new-99,iPhone 12 Pro 256GB (Like New 99%),    iOS 14,,,26.190.000,,    3 Camera,    1170 x 2532 pixels,    256GB,    6.1 inches,,,,,,,
