bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,Apple A12 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-xs-256gb-cu-nguyen-ban,iPhone XS Cũ 256Gb Nguyên Bản,,,,"11,290,000 VNĐ",4 GB,Dual 12 MP,,256 GB,"5.8"" Super Retina HD",,,,,,,
,,Apple A12 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-xs-max-256gb-cu-nguyen-ban,iPhone Xs Max Cũ 256GB Nguyên Bản,,,,"13,490,000 VNĐ",4 GB,Dual 12 MP,,256 GB,"6.5"" Super Retina HD",,,,,,,
,,Apple A12 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-xr-64gb-cu-dep-nhu-moi,iPhone XR Cũ 64Gb Nguyên Bản,,,,"8,990,000 VNĐ",3 GB,12 MP,,64 GB,"IPS LCD , 6.1 inches",,,,,,,
,,Apple A10 Fusion,7.0 MP,,https://didongthongminh.vn/iphone-7-chinh-hang-fpt-vna-p1978,iPhone 7 32Gb Chính Hãng VN/A,,,,"5,590,000 VNĐ",2 GB,12 MP,,32 GB,"IPS LCD, 4.7"", HD",,,,,,,
,,Apple A11 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-8-256gb-cu-quoc-te,iPhone 8 Cũ 256Gb Nguyên Bản,,,,"6,490,000 VNĐ",2 GB,12 MP,,256 GB,"IPS LCD, 4.7"", qHD",,,,,,,
,,Apple A10 Fusion,7.0 MP,,https://didongthongminh.vn/iphone-7-256gb-cu-nguyen-ban,iPhone 7 Cũ 256Gb Nguyên Bản,,,,"4,490,000 VNĐ",2 GB,12 MP,,256 GB,"IPS LCD, 4.7"", HD",,,,,,,
,,Apple A11 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-8-plus-128gb-cu-nguyen-ban,iPhone 8 Plus Cũ 256Gb Nguyên Bản,,,,"8,790,000 VNĐ",3 GB,Dual 12 MP,,256 GB,"IPS LCD, 5.5"", Retina HD",,,,,,,
,,Apple A10 Fusion,7.0 MP,,https://didongthongminh.vn/iphone-7-plus-128gb-cu-nguyen-ban,iPhone 7 Plus Cũ 128Gb Nguyên Bản,,,,"6,290,000 VNĐ",3 GB,Dual 12 MP,,128 GB,"IPS LCD, 5.5"", Full HD",,,,,,,
,,Apple A10 Fusion,7.0 MP,,https://didongthongminh.vn/iphone-7-plus-256gb-cu-nguyen-ban,iPhone 7 Plus Cũ 256Gb Nguyên Bản,,,,"6,590,000 VNĐ",3 GB,Dual 12 MP,,256 GB,"IPS LCD, 5.5"", Full HD",,,,,,,
,,Dual-core 1.4 GHz Typhoon (ARM v8-based),1.2 MP,,https://didongthongminh.vn/iphone-6-16gb-cu-qsd-99-p1353,iPhone 6 Cũ 16GB Quốc Tế,,,,"2,290,000 VNĐ",1 GB,8.0 MP,,16 GB,"IPS LCD, 4.7"", HD",,,,,,,
,,Apple A11 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-8-plus-chua-active-chinh-hang-p2326,iPhone 8 Plus 64Gb Mới Chính Hãng VN/A,,,,"11,590,000 VNĐ",3 GB,Dual 12 MP,,64 GB,"IPS LCD, 5.5"", Retina HD",,,,,,,
,,Dual-core 1.4 GHz Typhoon (ARM v8-based),1.2 MP,,https://didongthongminh.vn/iphone-6-32gb-cu-nguyen-ban,iPhone 6 Cũ 32GB Quốc Tế,,,,"2,790,000 VNĐ",1 GB,8.0 MP,,32 GB,"IPS LCD, 4.7"", HD",,,,,,,
,,Dual-core 1.4 GHz Typhoon (ARM v8-based),1.2 MP,,https://didongthongminh.vn/iphone-6-64gb-cu-nguyen-ban,iPhone 6 Cũ 64Gb Quốc Tế,,,,"2,990,000 VNĐ",1 GB,8.0 MP,,64 GB,"IPS LCD, 4.7"", HD",,,,,,,
,,Dual-core 1.4 GHz Typhoon (ARM v8-based),1.2 MP,,https://didongthongminh.vn/iphone-6-128gb-cu-qsd-p2363,iPhone 6 Cũ 128GB Quốc Tế,,,,"3,390,000 VNĐ",1 GB,8.0 MP,,128 GB,"IPS LCD, 4.7"", HD",,,,,,,
,,Apple A11 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-8-plus-256gb-moi-chinh-hang,iPhone 8 Plus 256Gb Mới Chính Hãng VN/A,,,,"13,590,000 VNĐ",3 GB,Dual 12 MP,,256 GB,"IPS LCD, 5.5"", Retina HD",,,,,,,
,,Apple A10 Fusion,7.0 MP,,https://didongthongminh.vn/iphone-7-128gb-cu-nguyen-ban,iPhone 7 Cũ 128Gb Nguyên Bản,,,,"4,090,000 VNĐ",2 GB,12 MP,,128 GB,"IPS LCD, 4.7"", HD",,,,,,,
,,Apple A9,1.2 MP,,https://didongthongminh.vn/iphone-se-32gb-cu-nguyen-ban,iPhone SE Cũ 32Gb Nguyên Bản,,,,"2,390,000 VNĐ",2 GB,12 MP,,32 GB,"IPS LCD, 4.0"", DVGA",,,,,,,
,,Apple A9,5.0 MP,,https://didongthongminh.vn/iphone-6s-32gb-cu-nguyen-ban,iPhone 6S Cũ 32GB Quốc Tế,,,,"2,990,000 VNĐ",2 GB,12 MP,,32 GB,"IPS LCD, 4.7"", HD",,,,,,,
,,Apple A9,1.2 MP,,https://didongthongminh.vn/iphone-se-64gb-cu-nguyen-ban,iPhone SE Cũ 64Gb Nguyên Bản,,,,"2,590,000 VNĐ",2 GB,12 MP,,64 GB,"IPS LCD, 4.0"", DVGA",,,,,,,
,,Apple A9,5.0 MP,,https://didongthongminh.vn/iphone-6s-64gb-cu-nguyen-ban,iPhone 6S Cũ 64GB Quốc Tế,,,,"3,190,000 VNĐ",2 GB,12 MP,,64 GB,"IPS LCD, 4.7"", HD",,,,,,,
,,Apple A9,5.0 MP,,https://didongthongminh.vn/iphone-6s-cu-128gb-quoc-te,iPhone 6S Cũ 128GB Quốc Tế,,,,"3,590,000 VNĐ",2 GB,12 MP,,128GB,"IPS LCD, 4.7"", HD",,,,,,,
,,Apple A9,1.2 MP,,https://didongthongminh.vn/iphone-se-cu-128gb-nguyen-ban,iPhone SE Cũ 128Gb Nguyên Bản,,,,"2,790,000 VNĐ",2 GB,12 MP,,128 GB,"IPS LCD, 4.0"", DVGA",,,,,,,
,,Apple A9,5.0 MP,,https://didongthongminh.vn/iphone-6s-plus-quoc-te-cu-99-p1883,iPhone 6S Plus Cũ 16Gb Nguyên Bản,,,,"3,990,000 VNĐ",2 GB,12 MP,,16 GB,"IPS LCD, 5.5"", Full HD",,,,,,,
,,Apple A9,5.0 MP,,https://didongthongminh.vn/iphone-6s-plus-32g-cu-nguyen-ban,iPhone 6S Plus Cũ 32Gb Nguyên Bản,,,,"4,390,000 VNĐ",2 GB,12 MP,,32 GB,"IPS LCD, 5.5"", Full HD",,,,,,,
,,Apple A9,5.0 MP,,https://didongthongminh.vn/iphone-6s-plus-64g-cu-nguyen-ban,iPhone 6S Plus Cũ 64Gb Nguyên Bản,,,,"4,790,000 VNĐ",2 GB,12 MP,,64 GB,"IPS LCD, 5.5"", Full HD",,,,,,,
,,Apple A9,5.0 MP,,https://didongthongminh.vn/iphone-6s-plus-128g-cu-nguyen-ban,iPhone 6s Plus Cũ 128Gb Nguyên Bản,,,,"5,090,000 VNĐ",2 GB,12 MP,,128 GB,"IPS LCD, 5.5"", Full HD",,,,,,,
,,Apple A10 Fusion,7.0 MP,,https://didongthongminh.vn/iphone-7-plus-chua-active-vna-p2280,iPhone 7 Plus 32Gb Mới Chính Hãng,,,,"7,790,000 VNĐ",3 GB,12 MP,,32 GB,"IPS LCD, 5.5"", Full HD",,,,,,,
,,Apple A8,1.2 MP,,https://didongthongminh.vn/iphone-6-plus-cu-qsd-99-p1172,iPhone 6 Plus Cũ 16GB Quốc Tế,,,,"2,790,000 VNĐ",1 GB,8.0 MP,,16 GB,"IPS LCD, 5.5"", Full HD",,,,,,,
,,Apple A8,1.2 MP,,https://didongthongminh.vn/iphone-6-plus-64gb-cu-nguyen-ban,iPhone 6 Plus Cũ 64GB Quốc Tế,,,,"3,390,000 VNĐ",1 GB,8.0 MP,,64 GB,"IPS LCD, 5.5"", Full HD",,,,,,,
,,Apple A11 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-8-chua-active-chinh-hang-p2325,iPhone 8 64Gb Mới Chính Hãng VN/A,,,,"9,590,000 VNĐ",2 GB,12 MP,,64 GB,"IPS LCD, 4.7"", qHD",,,,,,,
,,Apple A11 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-x-chinh-hang-p2324,iPhone X Mới 64Gb Chính Hãng VN/A,,,,"10,590,000 VNĐ",3 GB,Dual 12 MP,,64 GB,"Super Retina OLED 5.8""",,,,,,,
,,Apple A12 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-xs-max-256gb-moi-chinh-hang,iPhone XS Max 256Gb Chính Hãng VN/A,,,,"15,990,000 VNĐ",4 GB,Dual 12 MP,,256 GB,"6.5"" Super Retina HD",,,,,,,
,,Apple A12 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-xs-64gb-moi-chinh-hang,iPhone XS 64Gb Mới Chính Hãng VN/A,,,,"13,990,000 VNĐ",4 GB,Dual 12 MP,,64 GB,"5.8"" Super Retina HD",,,,,,,
,,Apple A12 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-xs-256gb-moi-chinh-hang,iPhone XS 256Gb Chính Hãng VN/A,,,,"15,990,000 VNĐ",4 GB,Dual 12 MP,,256 GB,"5.8"" Super Retina HD",,,,,,,
,,Apple A12 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-xr-128gb-moi-chinh-hang,iPhone XR 128Gb Chính Hãng VN/A,,,,"13,350,000 VNĐ",3 GB,12 MP,,128 GB,"IPS LCD , 6.1 inches",,,,,,,
,,Apple A10 Fusion,7.0 MP,,https://didongthongminh.vn/iphone-7-plus-128gb-moi-chinh-hang,iPhone 7 Plus 128Gb Mới Chính Hãng VN/A,,,,"11,390,000 VNĐ",3 GB,12 MP,,128 GB,"IPS LCD, 5.5"", Full HD",,,,,,,
,,Apple A10 Fusion,7.0 MP,,https://didongthongminh.vn/iphone-7-128gb-moi-chinh-hang,iPhone 7 128Gb Mới Chính Hãng,,,,"6,890,000 VNĐ",2 GB,12 MP,,128 GB,"IPS LCD, 4.7"", HD",,,,,,,
,,Apple A8,1.2 MP,,https://didongthongminh.vn/iphone-6-plus-128gb-cu-nguyen-ban,iPhone 6 Plus Cũ 128GB Quốc Tế,,,,"3,890,000 VNĐ",1 GB,8.0 MP,,128 GB,"IPS LCD, 5.5"", Full HD",,,,,,,
,,Apple A12 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-xs-max-64gb-moi-chinh-hang,iPhone XS Max 64Gb Chính Hãng VN/A,,,,"14,990,000 VNĐ",4 GB,Dual 12 MP,,64 GB,"6.5"" Super Retina HD",,,,,,,
,,Apple A9,5.0 MP,,https://didongthongminh.vn/iphone-6s-32g-chinh-hang-fpt-p2013,iPhone 6S Mới 32GB Chính Hãng,,,,"7,390,000 VNĐ",2 GB,12 MP,,32 GB,"IPS LCD, 4.7"", HD",,,,,,,
,,Apple A9,5.0 MP,,https://didongthongminh.vn/iphone-6s-64gb-moi-chinh-hang,iPhone 6S Mới 64Gb Chính Hãng,,,,"9,090,000 VNĐ",2 GB,12 MP,,64 GB,"IPS LCD, 4.7"", HD",,,,,,,
