bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,"Vàng, Xám, Bạc, Xanh Đen",A13 Bionic,12MP,,,iPhone 11 Pro 256GB,IOS 13,,,22.890.000đ,4 GB,3 camera (góc rộng 12 MP + góc siêu rộng 12 MP + tele 12 MP),2436 x 1125,256GB,5.8 inch Super retina XDR,"OLED Multi-Touch, HDR, XDR Super Retina",SIM kép,"144 x 71,4 x 8,1mm",,,188g,
"Bluetooth 5.0, A2DP, LE","Bạc, Than Chì, Vàng, Xanh Thái Bình Dương",Apple A14 Bionic (5 nm) 6 nhân,12 MP ƒ/ 2.2,Apple GPU (4 nhân),,iPhone 12 Pro Max 256GB Cũ,iOS 14,,,27.390.000đ,6GB,"camera góc rộng 12 MP ƒ/1.6, camera góc siêu rộng 12 MP ƒ/2.4, telephoto 12 MP ƒ/2.2, quét độ sâu TOF 3D LiDAR scanner","1284 x 2778 pixels, 19.59",256GB,"6.7 inches, 109.8 cm2 (chiếm khoảng 87.4% thân máy)","Super Retina XDR OLED, HDR10, 800 nits đến 1200 nits",SIM đơn (Nano-SIM và/hoặc eSIM),160.8 x 78.1 x 7.4 mm (6.33 x 3.07 x 0.29 in),,,228 g (8.04 oz),
"Bluetooth 5.0, A2DP, LE","Đen, Trắng, Đỏ, Xanh Lá, Xanh Navy",Apple A14 Bionic (5nm) (6 nhân),12 MP ƒ/ 2.2,Apple GPU (4 nhân),,iPhone 12 128GB,iOS 14,,,20.890.000đ,4GB,"camera góc rộng 12 MP ƒ/1.6, camera góc siêu rộng 12 MP ƒ/2.4","1170 x 2532 pixels, 19.59",128GB,"6.1 inches, 90.2 cm2 (chiếm khoảng 86.0% thân máy)","Super Retina XDR OLED, HDR10, 625 nits đến 1200 nits",SIM đơn (Nano-SIM hoặc eSIM),146.7 x 71.5 x 7.4 mm (5.78 x 2.81 x 0.29 in),,,164 g (5.78 oz),
,"Vàng, Xám, Bạc, Xanh Đen",A13 Bionic,12MP,,,iPhone 11 Pro 512GB Cũ,IOS 13,,,25.990.000đ,4 GB,"3 Camera (12MP + 12MP + 16MP), góc rộng, tele, góc siêu rộng",2436 x 1125,512 GB,5.8 inch Super retina XDR,"OLED Multi-Touch, HDR, XDR Super Retina",SIM kép,"144 x 71,4 x 8,1mm",,,188g,
,"Vàng, Xám, Bạc, Xanh Đen",A13 Bionic,12MP,,,iPhone 11 Pro 512GB,IOS 13,,,25.990.000đ,4 GB,"3 Camera (12MP + 12MP + 16MP), góc rộng, tele, góc siêu rộng",2436 x 1125,512 GB,5.8 inch Super retina XDR,"OLED Multi-Touch, HDR, XDR Super Retina",SIM kép,"144 x 71,4 x 8,1mm",,,188g,
,"Đen, Xanh, Vàng, Tím, Đỏ, Trắng",chip A13 Bionic,12MP,,,iPhone 11 256GB,IOS 13,,,18.790.000đ,4GB,2 camera (góc rộng 12MP + góc siêu rộng 12 MP),1792 x 828,256GB,6.1 inch,"LCD, Retina HD lỏng, IPS",SIM kép,"150,9 x 75,7 x 8,3mm",,,194g,
"Bluetooth 5.0, A2DP, LE","Đen, Trắng, Đỏ, Xanh Lá, Xanh Navy",Apple A14 Bionic (5 nm) 6 nhân,12 MP ƒ/ 2.2,Apple GPU (4 nhân),,iPhone 12 Mini 256GB,iOS 14,,,19.890.000đ,4GB,"camera góc rộng 12 MP ƒ/1.6, camera góc siêu rộng 12 MP ƒ/2.4","1080 x 2340 pixels, 19.59",256GB,"5.4 inches, 71.9 cm2 (chiếm khoảng 85.1% thân máy)","Super Retina XDR OLED, HDR10, 625 nits đến 1200 nits",SIM đơn (Nano-SIM và/hoặc eSIM),131.5 x 64.2 x 7.4 mm (5.18 x 2.53 x 0.29 in),,,135 g (4.76 oz),
"Bluetooth 5.0, A2DP, LE","Bạc, Than Chì, Vàng, Xanh Thái Bình Dương",Apple A14 Bionic (5 nm) 6 nhân,12 MP ƒ/ 2.2,Apple GPU (4 nhân),,iPhone 12 Pro Max 128GB Cũ,iOS 14,,,25.490.000đ,6GB,"camera góc rộng 12 MP ƒ/1.6, camera góc siêu rộng 12 MP ƒ/2.4, telephoto 12 MP ƒ/2.2, quét độ sâu TOF 3D LiDAR scanner","1284 x 2778 pixels, 19.59",128GB,"6.7 inches, 109.8 cm2 (chiếm khoảng 87.4% thân máy)","Super Retina XDR OLED, HDR10, 800 nits đến 1200 nits",SIM đơn (Nano-SIM và/hoặc eSIM),160.8 x 78.1 x 7.4 mm (6.33 x 3.07 x 0.29 in),,,228 g (8.04 oz),
,"Vàng, Xám, Bạc, Xanh Đen",A13 Bionic,12MP,,,iPhone 11 Pro 64GB,IOS 13,,,19.990.000đ,4 GB,3 camera (góc rộng 12 MP + góc siêu rộng 12 MP + tele 12 MP),2436 x 1125,64GB,5.8 inch Super retina XDR,"OLED Multi-Touch, HDR, XDR Super Retina",SIM kép,"144 x 71,4 x 8,1mm",,,188g,
"Bluetooth 5.0, A2DP, LE","Đen, Trắng, Đỏ, Xanh Lá, Xanh Navy",Apple A14 Bionic (5nm) (6 nhân),12 MP ƒ/ 2.2,Apple GPU (4 nhân),,iPhone 12 64GB,iOS 14,,,19.390.000đ,4GB,"camera góc rộng 12 MP ƒ/1.6, camera góc siêu rộng 12 MP ƒ/2.4","1170 x 2532 pixels, 19.59",64GB,"6.1 inches, 90.2 cm2 (chiếm khoảng 86.0% thân máy)","Super Retina XDR OLED, HDR10, 625 nits đến 1200 nits",SIM đơn (Nano-SIM hoặc eSIM),146.7 x 71.5 x 7.4 mm (5.78 x 2.81 x 0.29 in),,,164 g (5.78 oz),
,"Vàng, Xám, Bạc, Xanh Đen",Chip A13 Bionic,12MP,,,iPhone 11 Pro Max 64GB,iOS 13,,,24.990.000đ,4 GB,"3 camera 12MP (rộng, siêu rộng, tele)",2688 x 1242,64GB,6.5 inch,"OLED Multi, HDR, XDR Super Retina",SIM kép,"158 x 77,8 x 8,1mm",,,226g,
"Bluetooth 5.0, A2DP, LE","Bạc, Than Chì, Vàng, Xanh Thái Bình Dương",Apple A14 Bionic (5 nm) 6 nhân,12 MP ƒ/ 2.2,Apple GPU (4 nhân),,iPhone 12 Pro 256GB Cũ,iOS 14,,,24.990.000đ,6GB,"camera góc rộng 12 MP ƒ/1.6, camera góc siêu rộng 12 MP ƒ/2.4, telephoto 12 MP ƒ/2.0","1170 x 2532 pixels, 19.59",256GB,"6.1 inches, 90.2 cm2","Super Retina XDR OLED, HDR10, 800 nits đến 1200 nits",SIM đơn (Nano-SIM và/hoặc eSIM),146.7 x 71.5 x 7.4 mm (5.78 x 2.81 x 0.29 in),,,189 g (6.67 oz),
,"Đen, Xanh, Vàng, Tím, Đỏ, Trắng",chip A13 Bionic,12 MP,,,iPhone 11 128GB,iOS 13,,,16.490.000đ,4 GB,2 camera (góc rộng 12MP + góc siêu rộng 12 MP),1792 x 828 pixel,128 GB,6.1 inch,"LCD, Retina HD lỏng, IPS",SIM kép,"150,9 x 75,7 x 8,3mm",,,194g,
"Bluetooth 5.0, A2DP, LE","Đen, Trắng, Đỏ, Xanh Lá, Xanh Navy",Apple A14 Bionic (5 nm) 6 nhân,12 MP ƒ/ 2.2,Apple GPU (4 nhân),,iPhone 12 Mini 128GB,iOS 14,,,17.990.000đ,4GB,"camera góc rộng 12 MP ƒ/1.6, camera góc siêu rộng 12 MP ƒ/2.4","1080 x 2340 pixels, 19.59",128GB,"5.4 inches, 71.9 cm2 (chiếm khoảng 85.1% thân máy)","Super Retina XDR OLED, HDR10, 625 nits đến 1200 nits",SIM đơn (Nano-SIM và/hoặc eSIM),131.5 x 64.2 x 7.4 mm (5.18 x 2.53 x 0.29 in),,,135 g (4.76 oz),
"Bluetooth 5.0, A2DP, LE","Bạc, Than Chì, Vàng, Xanh Thái Bình Dương",Apple A14 Bionic (5 nm) 6 nhân,12 MP ƒ/ 2.2,Apple GPU (4 nhân),,iPhone 12 Pro 128GB Cũ,iOS 14,,,22.490.000đ,6GB,"camera góc rộng 12 MP ƒ/1.6, camera góc siêu rộng 12 MP ƒ/2.4, telephoto 12 MP ƒ/2.0","1170 x 2532 pixels, 19.59",128GB,"6.1 inches, 90.2 cm2","Super Retina XDR OLED, HDR10, 800 nits đến 1200 nits",SIM đơn (Nano-SIM và/hoặc eSIM),146.7 x 71.5 x 7.4 mm (5.78 x 2.81 x 0.29 in),,,189 g (6.67 oz),
